"muni_code","year","sec_share"
27001,2001,23.398001175779
27002,2001,13.0489335006274
27003,2001,15.9876543209877
27004,2001,15.8415841584158
27005,2001,26.4547896150403
27006,2001,23.9130434782609
27007,2001,10.7775211701309
27008,2001,16.374269005848
27009,2001,19.2765349833413
27010,2001,23.2055347362352
27011,2001,22.089552238806
27012,2001,20.9534368070953
27013,2001,23.166144200627
27014,2001,27.5510204081633
27015,2001,19.6769456681351
27016,2001,26.6037406047894
27017,2001,8.32443970117396
27018,2001,27.9447322970639
27019,2001,19.3440897930551
27020,2001,17.388706304153
27021,2001,23.3431516936672
27022,2001,25.1833740831296
27023,2001,23.2260907888938
27024,2001,17.6636568848758
27025,2001,18.2985553772071
27026,2001,26.1650758001123
27027,2001,23.3866519580805
27028,2001,20.7245048079998
27029,2001,17.6672384219554
27030,2001,18.957182320442
27031,2001,21.7439806637538
27032,2001,19.4418604651163
27033,2001,13.0039011703511
27034,2001,16.33875106929
27035,2001,15.1515151515152
27037,2001,18.5912240184757
27038,2001,11.6111611161116
27039,2001,17.6915149433184
27040,2001,15.2380952380952
27041,2001,16.3918982571832
27042,2001,16.0501193317422
27043,2001,22.9965156794425
27044,2001,22.8847703464948
27045,2001,13.4538152610442
27046,2001,22.9166666666667
27047,2001,18.8607594936709
27048,2001,16.3755458515284
27049,2001,21.9298245614035
27050,2001,11.2972202423378
27051,2001,23.3528412308854
27052,2001,9.47867298578199
27053,2001,17.6360225140713
27054,2001,30.3405572755418
27055,2001,20
27056,2001,17.4242424242424
27057,2001,25.3558844256519
27058,2001,16.9610231425091
27059,2001,14.2583732057416
27060,2001,15.9203980099502
27061,2001,11.275415896488
27062,2001,19.9604743083004
27063,2001,15.6365883807169
27064,2001,17.1921921921922
27065,2001,15.3264061441157
27066,2001,24.6111619396157
27901,2001,26.8776824034335
27902,2001,21.3169356904945
27990,2001,5.10770597379525
32001,2001,54.4958253050739
32002,2001,23.3512786002692
32003,2001,23.8841978287093
32004,2001,4.85021398002853
32005,2001,23.1300345224396
32006,2001,21.1051930758988
32007,2001,19.8092443140132
32008,2001,26.3052781740371
32009,2001,19.0321415673528
32010,2001,10.4859335038363
32011,2001,3.55871886120996
32012,2001,7.49711649365629
32013,2001,15.5795148247978
32014,2001,19.8807157057654
32015,2001,14.3034825870647
32016,2001,10.4945717732207
32017,2001,15.2688172043011
32018,2001,11.5927419354839
32019,2001,21.2369062993256
32020,2001,25.5851493139629
32021,2001,20.3870967741935
32022,2001,16.4780763790665
32023,2001,11.5965051628276
32024,2001,25.0358063592094
32025,2001,16.5441176470588
32026,2001,22.4449877750611
32027,2001,10.3488372093023
32028,2001,20.0398142003981
32029,2001,12.1575342465753
32030,2001,15.0700934579439
32031,2001,11.6912599318956
32032,2001,17.9759122775481
32033,2001,20.495867768595
32034,2001,21.415270018622
32035,2001,13.6745607333843
32036,2001,12.1621621621622
32037,2001,12.7906976744186
32038,2001,16.5
32039,2001,18.809318377912
32040,2001,20.3137902559868
32041,2001,12.453300124533
32042,2001,12.252712188896
32043,2001,22.7120268327743
32044,2001,13.0012150668287
32045,2001,11.7286858219501
32046,2001,18.5765983112183
32047,2001,19.6428571428571
32048,2001,14.0089418777943
32049,2001,20.5729166666667
32050,2001,12.8558310376492
32051,2001,12.1715076071923
32052,2001,11.3648433351036
32053,2001,17.2496025437202
32054,2001,27.3592219324829
32055,2001,18.5332011892963
32056,2001,14.7440273037543
32057,2001,11.7100371747212
32058,2001,17.4345076784101
32059,2001,12.8103837471783
32060,2001,18.4249628528975
32061,2001,16.9634489222118
32062,2001,31.6596931659693
32063,2001,14.7883124627311
32064,2001,11.9047619047619
32065,2001,15.8284023668639
32066,2001,10.4056437389771
32067,2001,35.0050150451354
32068,2001,22.1279876638396
32069,2001,24.7308699447192
32070,2001,15.6794425087108
32071,2001,18.0114099429503
32072,2001,23.3259749816041
32073,2001,16.4439876670092
32074,2001,14.7089947089947
32075,2001,19.0576356752209
32076,2001,22.7553444180523
32077,2001,16.3793103448276
32078,2001,12.9827444535744
32079,2001,17.6695319961796
32080,2001,6.94789081885856
32081,2001,19.0961171228517
32082,2001,11.5640599001664
32083,2001,13.2689987937274
32084,2001,20.7013574660633
32085,2001,21.4905484970561
32086,2001,14.9365899483326
32087,2001,16.0388821385176
32088,2001,12.2107969151671
32089,2001,11.6654438738078
32090,2001,68.7782805429864
32091,2001,14.6158650843223
32092,2001,18.9189189189189
32990,2001,6.39848197343454
27001,2005,13.2042253521127
27002,2005,11.4890885750963
27003,2005,15.6345800122624
27004,2005,6.8503937007874
27005,2005,28.0652680652681
27006,2005,19.2516001969473
27007,2005,13.5408560311284
27008,2005,13.5553834237026
27009,2005,11.1111111111111
27010,2005,15.0662251655629
27011,2005,14.8285449490269
27012,2005,13.7513751375138
27013,2005,17.4435649369686
27014,2005,17.4236783320923
27015,2005,13.9926945771284
27016,2005,17.6171079429735
27017,2005,8.35791543756146
27018,2005,11.0769230769231
27019,2005,15.0483817150484
27020,2005,6.22866894197952
27021,2005,14.3674052894925
27022,2005,14.9634047167254
27023,2005,9.99174236168456
27024,2005,10.6078665077473
27025,2005,19.7183098591549
27026,2005,13.7145748987854
27027,2005,16.0839160839161
27028,2005,16.1390782552553
27029,2005,16.2291169451074
27030,2005,16.7714191200794
27031,2005,23.5956051745525
27032,2005,10.9751575824991
27033,2005,6.41940085592011
27034,2005,14.6892655367232
27035,2005,18.4931506849315
27037,2005,12.0186697782964
27038,2005,6.92007797270955
27039,2005,17.2854914196568
27040,2005,10.2139406487233
27041,2005,11.5563839701771
27042,2005,9.82142857142857
27043,2005,18.3760683760684
27044,2005,20.3317737133135
27045,2005,8.06794055201699
27046,2005,19.6765498652291
27047,2005,15.7511581733951
27048,2005,11.2662942271881
27049,2005,14.713216957606
27050,2005,7.65008576329331
27051,2005,18.8262742282843
27052,2005,4.11428571428571
27053,2005,8.62385321100918
27054,2005,21.4708368554522
27055,2005,11.0764430577223
27056,2005,13.4673366834171
27057,2005,14.2264672615307
27058,2005,12.1167452830189
27059,2005,10.7728337236534
27060,2005,12.7288207747978
27061,2005,9.50980392156863
27062,2005,8.03418803418803
27063,2005,16.866708780796
27064,2005,11.4874815905744
27065,2005,13.3636560537145
27066,2005,16.9947643979058
27901,2005,15.1128557409225
27902,2005,20.40770609319
27999,2005,3.64451920381273
32001,2005,56.729667812142
32002,2005,15.1631477927063
32003,2005,19.0703218116806
32004,2005,3.54243542435424
32005,2005,11.2373737373737
32006,2005,17.1350239890336
32007,2005,18.936170212766
32008,2005,23.4511243689766
32009,2005,11.7217232455473
32010,2005,11.4213197969543
32011,2005,4.55075845974329
32012,2005,11.1111111111111
32013,2005,9.4017094017094
32014,2005,29.4411177644711
32015,2005,10.6078665077473
32016,2005,13.5355892648775
32017,2005,9.69116080937167
32018,2005,9.05829596412556
32019,2005,15.1064633992692
32020,2005,22.2935044105854
32021,2005,13.1455399061033
32022,2005,12.375533428165
32023,2005,7.3482428115016
32024,2005,17.9541260216188
32025,2005,13.588850174216
32026,2005,18.7943262411348
32027,2005,7.22477064220183
32028,2005,14.6715328467153
32029,2005,11.1313868613139
32030,2005,6.73181324647123
32031,2005,10.0105374077977
32032,2005,15.9287531806616
32033,2005,12.0743034055728
32034,2005,14.3865842894969
32035,2005,9.55766192733017
32036,2005,13.6599851521901
32037,2005,15.1785714285714
32038,2005,8.33333333333333
32039,2005,17.7013422818792
32040,2005,12.8024980483997
32041,2005,14.140127388535
32042,2005,11.3207547169811
32043,2005,22.2429906542056
32044,2005,24.4823386114495
32045,2005,8.14437760296159
32046,2005,13.6690647482014
32047,2005,15.9420289855072
32048,2005,16.3013698630137
32049,2005,13.3676092544987
32050,2005,14.4583914458391
32051,2005,9.30693069306931
32052,2005,6.988964792433
32053,2005,14.6263910969793
32054,2005,21.8588611876516
32055,2005,12.8693994280267
32056,2005,7.7896138482024
32057,2005,7.69230769230769
32058,2005,16.9779286926995
32059,2005,9.61761297798378
32060,2005,8.50767085076708
32061,2005,8.59301227573182
32062,2005,28.9800995024876
32063,2005,13.745704467354
32064,2005,8.31234256926952
32065,2005,12.2781065088757
32066,2005,6.11510791366906
32067,2005,46.3604852686308
32068,2005,17.6018447348194
32069,2005,16.9209809264305
32070,2005,24.8598130841122
32071,2005,10.9117013639627
32072,2005,14.7294589178357
32073,2005,7.59493670886076
32074,2005,8.91783567134269
32075,2005,15.3582317073171
32076,2005,18.716049382716
32077,2005,13.6869118905047
32078,2005,12.0164609053498
