cod_ine,year,cod_provincia,provincia,cod_municipio,municipio,censo,votos_totais,abstencions,votos_nulos,votos_brancos,votos_candidaturas,votos_validos,turnout_pct,adcg,age_eu_anova,aidg,autonomo,bng,BNG-NOS (BNG-NOS CANDIDATURA GALEGA),c21,cc_cidadans,cdl,cds,Censo,contigo,cs,cxg,dec,dn,do_ourense,dpg,eb,ecg,edeg,en_marea,equo,eu_iu,fe_jons,fpg,ganemos,gu,hartos,idega,mas_g,mg,nos_up,p_lib,pacma,payj,pctg,ph,pirata_gal,podemos_av,podemos_eu_anova,pp,psoe,pt,pum_j,pyc,recortes_cero,recortes_esco,sain,scd,sdd,sumar,tega,uce,ucl,unidos_si,union_corunesa,upyd,via_nova,vox,adcg_pct,age_eu_anova_pct,aidg_pct,autonomo_pct,bng_pct,BNG-NOS (BNG-NOS CANDIDATURA GALEGA)_pct,c21_pct,cc_cidadans_pct,cdl_pct,cds_pct,Censo_pct,contigo_pct,cs_pct,cxg_pct,dec_pct,dn_pct,do_ourense_pct,dpg_pct,eb_pct,ecg_pct,edeg_pct,en_marea_pct,equo_pct,eu_iu_pct,fe_jons_pct,fpg_pct,ganemos_pct,gu_pct,hartos_pct,idega_pct,mas_g_pct,mg_pct,nos_up_pct,p_lib_pct,pacma_pct,payj_pct,pctg_pct,ph_pct,pirata_gal_pct,podemos_av_pct,podemos_eu_anova_pct,pp_pct,psoe_pct,pt_pct,pum_j_pct,pyc_pct,recortes_cero_pct,recortes_esco_pct,sain_pct,scd_pct,sdd_pct,sumar_pct,tega_pct,uce_pct,ucl_pct,unidos_si_pct,union_corunesa_pct,upyd_pct,via_nova_pct,vox_pct
27002,2012,27,Lugo,2,Alfoz,1778,1292,486,30,20,1242,1262,72.66591676040494,0,79,NA,NA,69,NA,1,NA,1,NA,NA,NA,NA,99,0,NA,0,NA,9,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,0,0,0,NA,NA,660,306,1,1,1,NA,NA,0,6,0,NA,NA,2,NA,NA,0,3,NA,NA,0,6.259904912836767,NA,NA,5.467511885895404,NA,0.07923930269413629,NA,0.07923930269413629,NA,NA,NA,NA,7.844690966719494,0,NA,0,NA,0.7131537242472267,NA,NA,NA,NA,NA,0,NA,NA,NA,0.15847860538827258,NA,NA,NA,NA,NA,0.15847860538827258,NA,0,0,0,NA,NA,52.29793977812995,24.247226624405705,0.07923930269413629,0.07923930269413629,0.07923930269413629,NA,NA,0,0.4754358161648178,0,NA,NA,0.15847860538827258,NA,NA,0,0.2377179080824089,NA,NA
27002,2016,27,Lugo,2,Alfoz,1631,1135,496,15,6,1114,1120,69.58920907418762,0,NA,0,NA,NA,56,0,0,NA,NA,NA,NA,12,2,NA,NA,0,NA,0,NA,NA,113,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,8,0,0,NA,NA,NA,NA,596,323,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,5,0,0,NA,NA,NA,NA,1.0714285714285714,0.17857142857142858,NA,NA,0,NA,0,NA,NA,10.089285714285715,NA,NA,NA,NA,0.26785714285714285,NA,NA,NA,NA,NA,NA,0,0.7142857142857143,0,0,NA,NA,NA,NA,53.214285714285715,28.83928571428571,NA,NA,NA,0.08928571428571429,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
27002,2020,27,Lugo,2,Alfoz,1515,885,630,19,9,857,866,58.415841584158414,NA,NA,NA,NA,175,NA,0,NA,NA,NA,1515,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,0,NA,0,NA,NA,NA,9,448,204,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,20.207852193995382,NA,0,NA,NA,NA,174.94226327944574,NA,0.11547344110854503,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.4618937644341801,NA,NA,0,NA,0,NA,NA,NA,1.0392609699769053,51.73210161662818,23.556581986143186,NA,0.23094688221709006,NA,NA,0.23094688221709006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3856812933025404
27002,2024,27,Lugo,2,Alfoz,1409,1045,364,25,7,1013,1020,74.16607523066004,NA,NA,NA,NA,224,NA,NA,NA,NA,NA,1409,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,513,250,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,21.96078431372549,NA,NA,NA,NA,NA,138.13725490196077,NA,NA,NA,NA,NA,NA,NA,0.09803921568627451,0.19607843137254902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09803921568627451,NA,NA,NA,NA,0,NA,50.294117647058826,24.509803921568626,NA,0.19607843137254902,NA,NA,NA,NA,NA,NA,0.39215686274509803,NA,NA,NA,NA,NA,NA,NA,1.5686274509803921
27003,2001,27,Lugo,3,Antas de Ulla,2417,1638,779,8,10,1620,1630,67.76996276375672,NA,NA,NA,4,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,0,NA,NA,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1098,211,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245398773006135,15.889570552147239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.024539877300614,NA,NA,0,NA,NA,0.18404907975460122,NA,0.5521472392638037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18404907975460122,NA,NA,NA,67.36196319018404,12.94478527607362,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27003,2005,27,Lugo,3,Antas de Ulla,2305,1647,658,16,9,1622,1631,71.45336225596529,NA,NA,NA,1,253,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,994,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06131207847946045,15.511955855303494,NA,NA,NA,NA,0.18393623543838136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1226241569589209,NA,NA,NA,NA,NA,NA,0.1226241569589209,NA,NA,NA,NA,0.1226241569589209,NA,NA,NA,60.94420600858369,22.378908645003065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27003,2009,27,Lugo,3,Antas de Ulla,2157,1607,550,16,10,1581,1591,74.50162262401484,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1,NA,NA,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA,905,367,NA,0,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,18.730358265241986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1257071024512885,0.06285355122564425,0.1257071024512885,NA,0.06285355122564425,NA,NA,0,NA,0,NA,NA,NA,NA,0.06285355122564425,NA,NA,NA,56.882463859208045,23.067253299811437,NA,0,NA,NA,NA,NA,NA,NA,NA,0.1257071024512885,NA,NA,NA,NA,0.1257071024512885,NA,NA
27003,2012,27,Lugo,3,Antas de Ulla,2016,1399,617,26,25,1348,1373,69.39484126984127,0,115,NA,NA,57,NA,0,NA,0,NA,NA,NA,NA,9,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,8,NA,0,0,0,NA,NA,882,265,1,0,0,NA,NA,0,4,0,NA,NA,0,NA,NA,0,6,NA,NA,0,8.375819373634377,NA,NA,4.151493080844865,NA,0,NA,0,NA,NA,NA,NA,0.6554989075018208,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0.07283321194464676,NA,NA,NA,NA,NA,0.5826656955571741,NA,0,0,0,NA,NA,64.23889293517844,19.30080116533139,0.07283321194464676,0,0,NA,NA,0,0.29133284777858703,0,NA,NA,0,NA,NA,0,0.43699927166788055,NA,NA
27003,2016,27,Lugo,3,Antas de Ulla,1861,1307,554,13,9,1285,1294,70.23105857066093,0,NA,0,NA,NA,56,2,0,NA,NA,NA,NA,28,3,NA,NA,0,NA,0,NA,NA,139,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0,7,5,0,NA,NA,NA,NA,800,239,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,4.327666151468315,0.1545595054095827,0,NA,NA,NA,NA,2.1638330757341575,0.23183925811437403,NA,NA,0,NA,0,NA,NA,10.741885625965997,NA,NA,NA,NA,0.38639876352395675,NA,NA,NA,NA,NA,NA,0,0.5409582689335394,0.38639876352395675,0,NA,NA,NA,NA,61.82380216383307,18.46986089644513,NA,NA,NA,0.07727975270479134,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
27003,2020,27,Lugo,3,Antas de Ulla,1727,1103,624,19,9,1075,1084,63.86797915460336,NA,NA,NA,NA,165,NA,1,NA,NA,NA,1727,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,0,NA,NA,NA,19,714,148,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,15.22140221402214,NA,0.09225092250922509,NA,NA,NA,159.31734317343174,NA,0.09225092250922509,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18450184501845018,NA,NA,NA,NA,NA,NA,NA,NA,0.09225092250922509,NA,NA,0.36900369003690037,NA,0,NA,NA,NA,1.7527675276752765,65.86715867158671,13.653136531365314,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8450184501845017
