CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;25;25;Cerdido;1473;901;572;7;6;888;895;8;179;1;3;1;3;1;587;105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;26;26;Cesuras;2324;1464;860;20;9;1435;1455;4;262;2;1;1;5;2;942;216;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;27;27;Coirós;1404;1117;287;18;9;1090;1108;5;170;1;2;3;4;0;723;182;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;28;28;Corcubión;1628;1039;589;19;7;1013;1032;8;449;5;1;3;4;1;357;185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;29;29;Coristanco;7046;5060;1986;32;52;4976;5008;6;918;6;4;10;1;9;3140;882;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;30;30;Coruña (A);207894;123811;84083;3396;725;119690;123086;730;31339;1042;740;165;864;425;48708;35677;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;31;31;Culleredo;17972;10258;7714;225;46;9940;10165;28;3011;61;76;15;59;27;3213;3497;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;32;32;Curtis;3870;2358;1512;35;22;2312;2347;7;465;15;4;3;4;4;1412;387;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;33;33;Dodro;2713;2066;647;17;9;2039;2056;1;543;9;7;4;6;5;1121;344;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;34;34;Dumbría;3557;2002;1555;12;8;1984;1996;11;418;4;3;9;6;3;686;842;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
