CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;8;8;Bóveda;1771;1392;379;11;13;1368;1379;0;224;0;0;0;1;2;884;257;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;9;9;Carballedo;2813;2129;684;12;16;2101;2113;1;405;8;2;11;2;2;1393;277;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;10;10;Castro de Rei;5262;3546;1716;54;23;3469;3523;10;805;7;2;7;9;7;2166;456;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;11;11;Castroverde;3095;2050;1045;25;15;2010;2035;5;444;4;8;4;4;3;863;675;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;12;12;Cervantes;1916;904;1012;0;2;902;902;0;189;0;1;2;3;0;403;304;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;13;13;Cervo;4315;3235;1080;26;19;3190;3216;4;739;4;17;9;35;5;1456;921;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;14;14;Corgo (O);3943;2501;1442;29;22;2450;2479;6;675;6;4;4;7;0;1262;486;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;15;15;Cospeito;5045;3475;1570;40;30;3405;3445;5;670;10;5;9;0;2;2128;576;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;16;16;Chantada;8640;5828;2812;74;33;5721;5795;5;1522;9;6;6;11;4;3268;890;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;17;17;Folgoso do Courel;1451;948;503;3;8;937;940;0;78;1;0;0;0;0;448;410;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;18;18;Fonsagrada (A);4637;2944;1693;17;32;2895;2912;2;809;3;3;2;11;1;1317;747;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;19;19;Foz;8218;5815;2403;70;43;5702;5772;8;1103;6;5;7;33;14;2421;2105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;20;20;Friol;4191;3401;790;30;24;3347;3377;7;582;28;0;3;2;1;2243;481;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;21;21;Xermade;2321;1382;939;17;7;1358;1375;3;317;0;3;3;2;2;844;184;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;22;22;Guitiriz;5544;3744;1800;43;20;3681;3724;4;927;3;4;5;8;7;2125;598;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;23;23;Guntín;3039;2299;740;14;16;2269;2283;0;527;5;3;2;2;2;1401;327;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;24;24;Incio (O);2236;1803;433;16;15;1772;1788;0;313;0;1;2;3;1;1149;303;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;25;25;Xove;3101;2529;572;23;14;2492;2515;6;456;3;7;4;12;1;1613;390;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;26;26;Láncara;2848;1807;1041;14;12;1781;1795;1;466;0;2;1;2;0;950;359;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;27;27;Lourenzá;2460;1846;614;17;16;1813;1830;1;424;3;2;14;1;5;980;383;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;28;28;Lugo;73353;48288;25065;1042;345;46901;47943;97;9720;196;170;76;573;119;23398;12552;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;29;29;Meira;1577;1198;379;11;21;1166;1177;0;206;3;2;0;0;6;752;197;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;30;30;Mondoñedo;4465;2949;1516;30;23;2896;2926;6;549;6;7;5;5;3;1777;538;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;31;31;Monforte de Lemos;16662;11022;5640;169;96;10757;10926;37;2339;46;20;14;35;21;5876;2369;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;32;32;Monterroso;3723;2178;1545;23;5;2150;2173;3;418;41;3;9;6;1;1080;589;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;33;33;Muras;1017;781;236;7;5;769;776;1;100;0;2;0;1;0;541;124;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;34;34;Navia de Suarna;1753;1181;572;7;5;1169;1176;0;191;0;4;1;5;1;723;244;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;35;35;Negueira de Muñiz;220;133;87;0;1;132;132;0;20;0;0;0;1;0;35;76;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;37;37;Nogais (As);1405;875;530;8;1;866;874;0;161;1;1;3;1;2;346;351;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;38;38;Ourol;1413;1132;281;13;8;1111;1124;1;129;1;2;1;3;0;641;333;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;39;39;Outeiro de Rei;3923;2969;954;26;32;2911;2937;2;515;11;2;3;9;2;2008;359;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;40;40;Palas de Rei;3784;2767;1017;16;21;2730;2746;7;416;3;2;4;5;1;1851;441;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;41;41;Pantón;3267;2160;1107;20;17;2123;2143;2;348;1;3;3;1;6;1378;381;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;42;42;Paradela;2442;1707;735;15;16;1676;1691;0;269;0;0;0;0;1;1029;377;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;43;43;Páramo (O);1760;1160;600;7;5;1148;1155;0;264;1;3;0;0;1;704;175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;44;44;Pastoriza (A);3497;2510;987;17;11;2482;2499;4;568;3;3;10;1;2;1555;336;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;45;45;Pedrafita do Cebreiro;1421;1007;414;7;4;996;1003;0;134;2;4;1;3;0;271;581;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;46;46;Pol;1872;1461;411;14;7;1440;1454;0;330;4;0;3;1;1;943;158;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;47;47;Pobra de Brollón (A);2356;1597;759;3;14;1580;1583;4;298;3;2;2;1;0;958;312;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;48;48;Pontenova (A);3009;2333;676;23;20;2290;2313;8;375;2;4;0;2;4;1533;362;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;49;49;Portomarín;1815;1157;658;5;12;1140;1145;0;250;3;3;3;1;3;734;143;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;50;50;Quiroga;3839;2848;991;20;22;2806;2826;1;317;2;0;5;2;2;2036;441;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;51;51;Ribadeo;7716;5404;2312;67;40;5297;5364;10;1237;9;22;6;33;14;2687;1279;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;52;52;Ribas de Sil;1204;850;354;5;1;844;849;0;80;0;1;0;0;2;379;382;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;53;53;Ribeira de Piquín;791;538;253;4;1;533;537;1;94;0;1;1;1;0;317;118;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;54;54;Riotorto;1682;1317;365;13;12;1292;1305;3;392;1;0;2;1;1;747;145;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;55;55;Samos;1964;1388;576;7;6;1375;1382;0;275;0;1;0;2;0;948;149;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;56;56;Rábade;1454;937;517;10;3;924;934;3;161;1;1;0;4;2;532;220;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;57;57;Sarria;10777;7246;3531;86;65;7095;7181;11;1799;9;15;6;18;16;3358;1863;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;58;58;Saviñao (O);4582;3319;1263;24;11;3284;3308;1;557;9;7;0;5;3;2056;646;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;59;59;Sober;2927;2106;821;6;10;2090;2096;1;298;3;3;0;3;1;1457;324;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;60;60;Taboada;3515;2236;1279;16;9;2211;2227;4;352;4;4;3;6;3;1378;457;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;61;61;Trabada;1466;1108;358;11;15;1082;1093;2;122;0;0;0;2;0;829;127;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;62;62;Triacastela;787;513;274;4;3;506;510;0;101;0;1;0;0;0;229;175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;63;63;Valadouro (O);2135;1650;485;8;24;1618;1626;2;253;4;2;1;2;3;957;394;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;64;64;Vicedo (O);2010;1368;642;15;21;1332;1347;3;229;2;2;2;10;3;832;249;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;65;65;Vilalba;13317;9010;4307;87;69;8854;8941;16;1357;12;9;13;16;6;6159;1266;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;66;66;Viveiro;12822;8906;3916;113;49;8744;8857;29;2152;19;40;18;98;25;4393;1970;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;901;901;Baralla;2985;1892;1093;23;5;1864;1887;1;501;4;3;2;4;2;1023;324;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;902;902;Burela;6448;4017;2431;74;40;3903;3977;5;832;8;13;3;24;14;2175;829;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Lugo                          ;990;990;C.E.R.A. Lugo;32564;9109;23455;52;51;9006;9058;67;460;91;44;44;143;98;5869;2190;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;1;1;Allariz;4447;3170;1277;37;19;3114;3151;5;1697;4;6;2;8;3;1112;277;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;2;2;Amoeiro;2083;1505;578;10;9;1486;1496;0;347;23;0;2;5;2;848;259;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;3;3;Arnoia (A);1089;838;251;4;5;829;833;1;198;0;0;0;6;2;525;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;4;4;Avión;2250;1415;835;10;3;1402;1412;0;68;1;1;0;0;1;1239;92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;5;5;Baltar;1154;873;281;4;0;869;873;0;201;20;0;1;2;0;567;78;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;6;6;Bande;2245;1522;723;7;13;1502;1509;5;317;4;0;2;4;4;949;217;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;7;7;Baños de Molgas;1985;1382;603;7;12;1363;1370;1;270;0;1;1;2;1;875;212;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;8;8;Barbadás;5338;3589;1749;59;25;3505;3564;7;922;16;4;10;13;8;1818;707;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;9;9;Barco de Valdeorras (O);9944;5629;4315;60;31;5538;5598;13;1054;12;12;9;43;5;2777;1613;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;10;10;Beade;509;395;114;4;0;391;395;1;41;0;0;3;0;0;280;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;11;11;Beariz;1156;848;308;4;1;843;847;0;30;0;0;0;1;0;784;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;12;12;Blancos (Os);1155;877;278;6;4;867;873;2;65;220;0;1;0;0;508;71;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;13;13;Boborás;2857;1875;982;13;7;1855;1868;1;289;1;2;0;1;0;1288;273;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;14;14;Bola (A);1424;1023;401;11;6;1006;1017;2;200;1;3;0;2;0;703;95;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;15;15;Bolo (O);1218;822;396;11;7;804;815;2;115;1;0;1;1;0;575;109;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;16;16;Calvos de Randín;1147;838;309;5;4;829;834;0;87;0;1;1;1;0;623;116;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;17;17;Carballeda de Valdeorras;1714;941;773;7;4;930;937;2;142;0;4;1;5;0;595;181;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;18;18;Carballeda de Avia;1453;1009;444;9;8;992;1001;1;115;83;0;1;3;0;536;253;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;19;19;Carballiño (O);10520;7107;3413;85;53;6969;7054;9;1480;4;13;20;16;10;3737;1680;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;20;20;Cartelle;3479;2504;975;11;15;2478;2489;1;634;1;4;2;0;3;1589;244;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;21;21;Castrelo do Val;1178;781;397;2;4;775;777;0;158;2;0;1;0;0;349;265;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;22;22;Castrelo de Miño;1885;1436;449;12;10;1414;1426;4;233;3;1;1;6;0;867;299;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;23;23;Castro Caldelas;1710;1273;437;8;6;1259;1267;1;146;2;2;1;0;0;579;528;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;24;24;Celanova;5118;3551;1567;38;22;3491;3529;1;874;10;2;12;5;3;2121;463;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;25;25;Cenlle;1483;1106;377;15;3;1088;1103;1;180;0;0;7;6;0;734;160;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;26;26;Coles;2874;2093;781;29;19;2045;2074;5;459;0;2;5;2;4;1153;415;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;27;27;Cortegada;1257;864;393;1;3;860;861;1;89;0;0;2;0;3;600;165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;28;28;Cualedro;2190;1518;672;8;3;1507;1515;0;302;16;0;2;0;4;1059;124;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;29;29;Chandrexa de Queixa;769;587;182;1;2;584;585;0;71;0;1;2;0;0;460;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;30;30;Entrimo;1221;863;358;5;2;856;861;0;129;2;1;0;1;0;394;329;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;31;31;Esgos;1164;889;275;6;2;881;887;2;103;1;0;0;3;0;680;92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;32;32;Xinzo de Limia;7845;5643;2202;51;29;5563;5614;4;1000;395;9;10;9;6;2911;1219;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;33;33;Gomesende;1002;627;375;10;12;605;615;0;124;0;1;0;0;0;376;104;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;34;34;Gudiña (A);1419;1103;316;15;14;1074;1089;0;230;2;0;0;3;0;611;228;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;35;35;Irixo (O);2015;1319;696;5;5;1309;1314;2;179;1;2;1;3;0;957;164;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;36;36;Xunqueira de Ambía;1901;1501;400;15;6;1480;1495;3;180;2;2;7;1;0;1145;140;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;37;37;Xunqueira de Espadanedo;940;696;244;3;5;688;691;0;88;0;1;2;0;0;538;59;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;38;38;Larouco;543;405;138;4;1;400;404;1;66;0;1;0;2;0;267;63;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;39;39;Laza;1759;1174;585;8;7;1159;1167;1;218;50;2;1;0;0;733;154;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;40;40;Leiro;1765;1230;535;14;5;1211;1225;0;246;18;1;1;0;2;758;185;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;41;41;Lobeira;1130;807;323;3;1;803;806;0;100;2;0;0;0;0;574;127;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;42;42;Lobios;2181;1585;596;13;5;1567;1580;3;192;2;0;1;3;4;1051;311;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;43;43;Maceda;2856;2124;732;11;26;2087;2098;1;474;1;1;4;4;3;1379;220;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;44;44;Manzaneda;1094;851;243;16;12;823;839;0;107;122;0;0;0;0;487;107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;45;45;Maside;2859;2154;705;21;10;2123;2144;4;249;3;2;2;2;2;1557;302;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;46;46;Melón;1374;844;530;10;5;829;839;0;154;0;1;3;2;0;504;165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;47;47;Merca (A);2210;1700;510;10;10;1680;1690;2;330;4;1;3;0;1;1252;87;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;48;48;Mezquita (A);1121;677;444;4;2;671;675;0;94;0;0;0;0;0;383;194;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;49;49;Montederramo;1140;780;360;10;2;768;778;2;158;3;0;4;2;0;509;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;50;50;Monterrei;2983;2193;790;8;7;2178;2186;0;280;11;3;0;3;0;1402;479;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;51;51;Muiños;1849;1457;392;5;6;1446;1451;1;176;1;3;0;0;0;1046;219;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;52;52;Nogueira de Ramuín;2362;1914;448;18;13;1883;1901;1;214;2;1;2;8;32;1475;148;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;53;53;Oímbra;1700;1277;423;8;11;1258;1266;3;217;2;0;1;5;1;853;176;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;54;54;Ourense;89305;58439;30866;1245;438;56756;58001;121;15528;226;155;109;447;127;26752;13291;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;55;55;Paderne de Allariz;1527;1025;502;7;9;1009;1016;1;187;3;1;1;2;0;679;135;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;56;56;Padrenda;2169;1482;687;7;10;1465;1472;2;216;3;0;2;0;0;1051;191;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;57;57;Parada de Sil;802;547;255;3;6;538;541;0;63;2;0;0;1;1;390;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;58;58;Pereiro de Aguiar (O);4611;3366;1245;28;17;3321;3349;6;579;13;4;6;8;6;2244;455;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;59;59;Peroxa (A);2452;1794;658;11;11;1772;1783;1;227;0;1;4;8;4;1236;291;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;60;60;Petín;976;680;296;4;3;673;677;0;124;0;3;0;1;0;352;193;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;61;61;Piñor;1412;1079;333;2;10;1067;1069;0;181;1;0;4;0;3;711;167;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Ourense                       ;62;62;Porqueira;1050;723;327;6;0;717;723;1;227;3;1;0;2;0;398;85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
