Cód Cir;Cód Con;Concello;;Censo;Certif Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;BNG;ECG;ESCANOS EN BRANCO;PACMA;PODEMOS-ALIANZA VERDE;PP;PSdeG-PSOE;PUM+J;SUMAR GALICIA;VOX
15;007;A Baña;;2975;0;2975;2125;12;14;850;2113;2099;540;1;4;4;2;1148;357;0;15;28
15;018;A Capela;;1052;0;1052;680;6;14;372;674;660;212;1;2;0;1;253;159;0;15;17
15;030;A Coruña;;197523;38;197523;129358;750;1409;68165;128608;127199;42779;70;241;679;528;57558;18817;181;3181;3165
15;041;A Laracha;;9665;0;9665;6551;47;69;3114;6504;6435;1986;5;6;27;14;3433;694;10;109;151
15;067;A Pobra do Caramiñal;;7852;0;7852;5249;29;33;2603;5220;5187;1893;5;9;20;31;2235;608;5;211;170
15;001;Abegondo;;4824;0;4824;3348;40;35;1476;3308;3273;891;5;5;14;7;1874;328;2;71;76
15;002;Ames;;25170;0;25170;17264;159;204;7906;17105;16901;6234;63;46;94;40;7541;1987;34;437;425
15;003;Aranga;;1595;0;1595;1136;8;7;459;1128;1121;215;0;2;2;3;681;187;2;12;17
15;004;Ares;;5229;0;5229;3465;33;23;1764;3432;3409;1218;1;10;8;13;1434;534;4;103;84
15;005;Arteixo;;26154;0;26154;15178;136;119;10976;15042;14923;5083;9;52;100;83;6933;1817;15;334;497
15;006;Arzúa;;4999;0;4999;3399;38;27;1600;3361;3334;1091;2;5;4;0;1859;302;1;31;39
15;070;As Pontes de García Rodríguez;;8284;0;8284;5445;90;80;2839;5355;5275;1932;1;10;10;12;1998;1107;7;96;102
15;081;As Somozas;;940;0;940;702;9;8;238;693;685;172;0;2;0;3;464;33;2;1;8
15;008;Bergondo;;5938;0;5938;4123;51;27;1815;4072;4045;1132;1;9;21;8;2172;474;1;98;129
15;009;Betanzos;;10628;0;10628;7369;86;74;3259;7283;7209;2177;9;15;20;12;3494;1110;8;195;169
15;010;Boimorto;;1652;0;1652;1153;7;15;499;1146;1131;270;1;0;1;0;704;138;0;5;12
15;011;Boiro;;15745;0;15745;9914;140;75;5831;9774;9699;3114;6;17;43;25;4633;1325;9;182;345
15;012;Boqueixón;;3556;0;3556;2649;52;22;907;2597;2575;693;0;6;12;6;1553;212;2;27;64
15;013;Brión;;6537;0;6537;4414;39;41;2123;4375;4334;1456;3;9;19;8;2151;467;7;93;121
15;014;Cabana de Bergantiños;;3668;0;3668;2468;12;20;1200;2456;2436;735;1;1;5;2;1409;219;0;14;50
15;015;Cabanas;;2921;0;2921;1965;17;12;956;1948;1936;654;0;2;4;7;856;305;0;51;57
15;016;Camariñas;;4432;6;4432;2792;28;24;1640;2764;2740;522;3;6;4;0;1291;820;0;19;75
15;017;Cambre;;20158;0;20158;13023;136;161;7135;12887;12726;4541;11;30;63;52;5537;1687;13;386;406
15;019;Carballo;;25962;0;25962;16159;119;141;9803;16040;15899;5935;10;19;49;29;7492;1596;14;249;506
15;901;Cariño;;3156;0;3156;1880;29;8;1276;1851;1843;600;0;4;6;6;865;305;0;25;32
15;020;Carnota;;3414;0;3414;2279;9;17;1135;2270;2253;819;1;2;8;5;997;347;1;42;31
