C¢d. Cir.;C¢d. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstenci¢n;Votos V lidos;Votos Candidaturas;PCTG;PUM+J;PACMA;B.N.G.;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;CCD-AU.TO.NO.MO;PSdeG-PSOE;EQUO;VOX;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;RECORTES CERO-ESCO-OV-M;Cs;P-LIB
15;47;Mes¡a;;2.223;0;2.223;1.315;14;17;908;1.301;1.284;0;0;2;277;17;731;0;228;1;17;6;1;4;0
15;48;Mi¤o;;5.155;0;5.155;3.109;33;34;2.046;3.076;3.042;1;1;7;622;126;1.567;2;622;5;64;9;5;11;0
15;49;Moeche;;1.067;0;1.067;736;2;9;331;734;725;0;0;0;264;5;399;0;50;0;7;0;0;0;0
15;50;Monfero;;1.720;0;1.720;890;10;10;830;880;870;1;0;1;199;11;476;0;165;0;11;1;1;4;0
15;51;Mugardos;;4.502;0;4.502;2.561;21;34;1.941;2.540;2.506;3;0;14;688;219;1.055;0;476;4;38;5;0;3;1
15;53;Muros;;7.413;0;7.413;4.199;35;45;3.214;4.164;4.119;3;5;23;1.255;147;1.859;1;728;3;72;8;3;11;1
15;52;Mux¡a;;4.033;0;4.033;2.380;18;20;1.653;2.362;2.342;1;0;4;386;29;1.322;0;545;1;46;0;1;6;1
15;54;Nar¢n;;31.765;6;31.771;16.107;132;207;15.664;15.975;15.768;12;9;88;4.267;975;7.078;9;2.808;20;346;34;11;102;9
15;55;Neda;;4.420;0;4.420;2.481;25;46;1.939;2.456;2.410;3;0;5;680;132;970;0;536;0;57;15;3;8;1
15;56;Negreira;;5.593;0;5.593;3.363;28;23;2.230;3.335;3.312;1;1;10;622;42;1.871;0;708;0;39;6;0;7;5
15;57;Noia;;12.042;0;12.042;7.410;57;60;4.632;7.353;7.293;1;5;23;1.756;284;3.894;1;1.182;2;99;13;5;23;5
15;66;O Pino;;4.000;0;4.000;2.540;29;27;1.460;2.511;2.484;0;0;2;487;46;1.577;0;308;1;34;15;2;12;0
15;58;Oleiros;;28.921;2;28.923;17.272;110;217;11.651;17.162;16.945;9;14;113;3.962;856;8.583;5;2.691;24;444;67;8;153;16
15;59;Ordes;;10.223;0;10.223;6.529;90;76;3.694;6.439;6.363;2;6;11;1.551;115;3.744;1;803;2;91;4;7;19;7
15;60;Oroso;;5.878;1;5.879;3.674;44;55;2.205;3.630;3.575;3;1;14;937;124;1.849;0;556;1;73;2;2;12;1
15;61;Ortigueira;;5.071;0;5.071;3.002;32;22;2.069;2.970;2.948;0;1;1;623;56;1.699;1;508;0;44;3;2;10;0
15;62;Outes;;5.530;0;5.530;3.191;20;12;2.339;3.171;3.159;4;1;14;768;82;1.835;1;373;1;51;12;5;8;4
15;902;Oza-Cesuras;;4.505;0;4.505;2.743;24;30;1.762;2.719;2.689;3;0;9;428;60;1.713;0;406;0;48;8;2;10;2
15;64;Paderne;;2.095;2;2.097;1.410;6;25;687;1.404;1.379;0;0;7;224;40;784;0;287;0;27;5;1;3;1
15;65;Padr¢n;;7.113;0;7.113;4.549;66;39;2.564;4.483;4.444;7;3;19;1.159;111;2.358;3;657;2;85;8;2;29;1
15;68;Ponteceso;;4.798;0;4.798;2.749;32;22;2.049;2.717;2.695;1;0;6;677;51;1.432;3;473;1;42;2;2;4;1
15;69;Pontedeume;;6.572;0;6.572;4.178;33;47;2.394;4.145;4.098;2;1;18;1.268;166;1.669;3;875;2;65;9;2;14;4
15;71;Porto do Son;;7.740;0;7.740;4.494;33;29;3.246;4.461;4.432;5;3;20;1.261;96;2.225;0;675;8;104;5;7;21;2
15;72;Rianxo;;9.418;0;9.418;5.638;55;29;3.780;5.583;5.554;4;1;27;1.931;204;2.315;1;925;2;96;17;4;25;2
15;73;Ribeira;;21.741;1;21.742;11.025;101;114;10.717;10.924;10.810;9;8;58;2.615;356;5.653;3;1.407;8;557;23;4;101;8
15;74;Rois;;3.882;0;3.882;2.436;19;15;1.446;2.417;2.402;0;9;9;483;40;1.492;0;313;2;43;3;2;6;0
15;75;Sada;;13.002;0;13.002;7.505;81;79;5.497;7.424;7.345;4;8;50;1.581;392;3.832;3;1.167;6;236;22;4;37;3
15;76;San Sadurni¤o;;2.460;0;2.460;1.515;16;17;945;1.499;1.482;0;1;8;607;19;662;4;150;0;20;4;0;4;3
15;77;Santa Comba;;8.055;0;8.055;4.597;37;34;3.458;4.560;4.526;2;1;7;734;58;3.111;0;514;1;76;4;4;12;2
15;78;Santiago de Compostela;;78.993;0;78.993;49.879;387;546;29.114;49.492;48.946;31;25;216;14.158;2.435;23.533;10;7.114;50;806;136;62;345;25
15;79;Santiso;;1.421;0;1.421;827;10;6;594;817;811;2;0;2;172;17;493;1;114;1;4;1;1;2;1
15;80;Sobrado;;1.612;0;1.612;974;9;10;638;965;955;0;1;0;135;8;618;0;176;0;14;1;0;2;0
15;82;Teo;;15.458;1;15.459;9.588;72;82;5.871;9.516;9.434;9;8;48;2.579;588;4.619;2;1.271;17;181;17;18;71;6
15;83;Toques;;1.014;0;1.014;678;4;2;336;674;672;0;0;0;108;7;467;0;77;0;10;2;1;0;0
15;84;Tordoia;;3.009;0;3.009;2.066;18;17;943;2.048;2.031;0;2;3;290;27;1.480;1;183;0;33;0;10;2;0
15;85;Touro;;3.164;0;3.164;1.963;16;13;1.201;1.947;1.934;1;2;5;437;40;1.159;0;249;0;30;1;2;7;1
15;86;Trazo;;2.735;0;2.735;1.803;13;8;932;1.790;1.782;0;2;6;276;21;1.200;0;235;0;34;1;1;6;0
15;88;Val do Dubra;;3.381;0;3.381;1.982;13;18;1.399;1.969;1.951;0;0;4;272;59;1.317;0;264;0;30;0;1;4;0
15;87;Valdovi¤o;;5.677;0;5.677;3.110;18;27;2.567;3.092;3.065;6;2;13;675;135;1.477;1;693;3;43;4;3;8;2
15;89;Vedra;;4.299;0;4.299;2.738;37;23;1.561;2.701;2.678;4;1;10;620;75;1.532;4;362;3;45;8;1;13;0
15;91;Vilarmaior;;1.086;0;1.086;719;11;7;367;708;701;0;0;6;117;25;458;0;76;0;8;7;0;4;0
15;90;Vilasantar;;1.103;0;1.103;719;6;8;384;713;705;0;0;2;171;5;486;0;35;0;6;0;0;0;0
15;92;Vimianzo;;6.141;0;6.141;3.535;24;15;2.606;3.511;3.496;2;2;6;557;42;1.986;4;829;3;49;4;0;12;0
15;93;Zas;;3.988;2;3.990;2.301;21;16;1.689;2.280;2.264;0;0;0;597;24;1.409;0;200;0;31;1;0;2;0
15;990;Residentes Ausentes A Coru¤a;;160.101;0;160.101;2.030;3;18;158.071;2.027;2.009;1;6;22;428;202;799;4;353;21;107;12;16;34;4
Total;;;;1.088.035;29;1.088.064;539.996;4.321;5.352;548.068;535.675;530.323;364;353;2.503;133.144;23.757;263.293;266;89.767;505;11.359;1.289;468;2.943;312
