C¢d. Cir.;C¢d. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstenci¢n;Votos V lidos;Votos Candidaturas;PODEMOS-ESQUERDA UNIDA-ANOVA;PUM+J;VOX;C 21;PCTG;B.N.G.;PSdeG-PSOE;EQUO;mg;RECORTES CERO-ESCO-OV-M;PP;Cs;PACMA
27;53;Ribeira de Piqu¡n;;486;0;486;333;8;1;153;325;324;0;0;4;0;0;32;153;0;0;0;134;1;0
27;54;Riotorto;;1.108;0;1.108;782;11;6;326;771;765;14;0;12;0;0;135;113;0;0;0;488;0;3
27;55;Samos;;1.169;0;1.169;756;6;3;413;750;747;11;0;12;0;0;102;139;0;10;1;472;0;0
27;57;Sarria;;11.053;0;11.053;6.686;82;55;4.367;6.604;6.549;112;2;123;1;3;1.662;944;3;26;1;3.633;24;15
27;59;Sober;;2.009;0;2.009;1.407;24;13;602;1.383;1.370;30;0;31;1;3;171;174;1;3;0;945;8;3
27;60;Taboada;;2.409;0;2.409;1.429;15;9;980;1.414;1.405;19;1;19;0;2;260;244;0;1;2;851;4;2
27;61;Trabada;;1.017;0;1.017;645;18;4;372;627;623;13;0;15;0;0;98;117;0;6;0;371;2;1
27;62;Triacastela;;582;0;582;418;4;3;164;414;411;4;0;2;0;0;53;85;0;0;0;266;0;1
27;65;Vilalba;;11.995;0;11.995;6.922;88;79;5.073;6.834;6.755;123;3;129;1;5;1.286;1.125;2;13;3;4.037;16;12
27;66;Viveiro;;12.532;0;12.532;7.268;145;51;5.264;7.123;7.072;210;4;148;1;5;2.297;1.320;2;10;5;3.026;24;20
27;21;Xermade;;1.609;0;1.609;953;19;11;656;934;923;9;0;28;0;1;155;168;0;0;0;560;1;1
27;25;Xove;;2.721;0;2.721;1.834;54;14;887;1.780;1.766;35;2;28;0;0;596;176;0;5;0;907;7;10
27;990;Residentes Ausentes Lugo;;67.605;0;67.605;421;1;7;67.184;420;413;37;3;25;2;2;83;92;5;1;5;141;9;8
Total;;;;342.969;14;342.983;165.566;2.189;1.520;177.417;163.377;161.857;3.715;64;3.381;40;83;35.178;28.465;83;367;94;89.266;592;529
