Cód. Cir.;Cód. Con.;Concello;;Censo;Certif. Alta;Censo Total;Votos Totais;Votos nulos;Votos brancos;Abstención;Votos Válidos;Votos Candidaturas;UPYD;PUM+J;BNG;ADCG;UNIDOS SI-UDP-DEf;PCTG;VOX;Cs;PSdeG-PSOE;PACMA;PODEMOS-ESQUERDA UNIDA-ANOVA;PP;EQUO;EN MAREA-COMPROMISO POR GALICIA-PARTIDO GALEGUISTA;EB;RECORTES CERO-ESCO-OV-M
36;51;Sanxenxo;;14.335;2;14.337;8.046;64;60;6.291;7.982;7.922;2;0;1.771;12;3;4;181;80;1.324;36;245;4.246;3;8;3;4
36;52;Silleda;;7.256;3;7.259;4.444;47;23;2.815;4.397;4.374;1;2;892;5;0;0;76;28;760;15;76;2.506;2;2;6;3
36;53;Soutomaior;;5.819;0;5.819;3.633;41;26;2.186;3.592;3.566;0;1;1.542;4;2;2;62;21;407;24;108;1.382;0;2;5;4
36;54;Tomiño;;11.140;3;11.143;6.410;68;54;4.733;6.342;6.288;4;1;2.239;9;3;3;106;45;956;36;186;2.679;2;13;2;4
36;55;Tui;;13.618;0;13.618;8.118;85;69;5.500;8.033;7.964;1;2;2.055;6;24;8;180;93;1.444;33;241;3.826;5;32;9;5
36;56;Valga;;4.928;0;4.928;3.130;33;14;1.798;3.097;3.083;1;1;642;9;2;3;38;21;384;11;76;1.881;3;6;3;2
36;57;Vigo;;238.730;21;238.751;136.513;884;1.144;102.238;135.629;134.485;89;112;31.645;233;237;127;2.916;1.673;43.361;919;8.252;44.107;162;356;166;130
36;59;Vila de Cruces;;4.578;0;4.578;2.677;19;14;1.901;2.658;2.644;0;1;587;3;2;0;64;21;280;7;25;1.653;0;1;0;0
36;58;Vilaboa;;4.974;2;4.976;2.751;41;23;2.225;2.710;2.687;2;3;760;1;1;0;29;20;577;7;90;1.188;2;6;1;0
36;60;Vilagarcía de Arousa;;30.430;3;30.433;17.331;138;146;13.102;17.193;17.047;13;8;4.047;15;44;14;297;162;3.877;114;872;7.509;9;34;13;19
36;61;Vilanova de Arousa;;8.524;3;8.527;5.275;61;30;3.252;5.214;5.184;2;1;802;10;5;13;99;51;794;18;118;3.257;3;6;2;3
36;990;Residentes Ausentes Pontevedra;;134.072;0;134.072;1.920;2;22;132.152;1.918;1.896;2;7;414;3;1;4;99;45;340;31;168;746;12;9;1;14
Total;;;;907.090;97;907.187;457.613;4.059;3.647;449.574;453.554;449.907;230;273;111.901;559;533;350;8.867;4.748;104.734;2.459;20.772;192.187;368;1.039;460;427
