CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;PARTIDO COMUNISTA DOS POBOS DE ESPAÑA - COMUNISTAS DA GALIZA;A.I.D.G (ALTERNATIVA INDEPENDENTE DE GALICIA);C 21 (CONVERXENCIA 21);C's (CIUDADANOS - PARTIDO DE LA CIUDADANÍA);ADCG (ACCIÓN DEMOCRÁTICA CIUDADANOS DE GALICIA);VN (VÍA NOVA GALICIA);BNG-NÓS (BNG-NÓS CANDIDATURA GALEGA);PP (PARTIDO POPULAR);PACMA (PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA -PSOE);RECORTES CERO-GRUPO VERDE;PAYJ (PARTIDO ANTICORRUPCIÓN Y JUSTICIA);C-C (CIDADÁNS-CEMTRUM);CxG (COMPROMISO POR GALICIA);UNIDOS SI-DEF (UNIDOS POR EL FUTURO);P-LIB (PARTIDO LIBERTARIO);EN MAREA;GAÑEMOS;DO (DEMOCRACIA OURENSANA);EB (ESCANOS EN BRANCO);;
15;A Coruña                      ;27;Coirós;1531;1108;423;7;13;1088;1095;2;0;0;26;0;0;71;660;11;179;0;3;0;2;0;0;129;5;0;0;;
15;A Coruña                      ;28;Corcubión;1410;951;459;9;7;935;944;1;0;1;27;0;1;182;324;11;207;1;0;0;3;0;0;175;2;0;0;;
15;A Coruña                      ;29;Coristanco;5672;3514;2158;21;32;3461;3482;1;4;0;76;3;1;298;2093;17;554;0;2;5;24;3;2;376;2;0;0;;
15;A Coruña                      ;31;Culleredo;23403;14145;9258;216;109;13820;14036;16;8;4;655;6;3;1139;5268;193;2987;20;20;31;51;14;6;3369;30;0;0;;
15;A Coruña                      ;32;Curtis;3434;2252;1182;27;40;2185;2212;1;1;0;58;1;1;156;1445;11;246;0;3;0;4;1;1;255;1;0;0;;
15;A Coruña                      ;33;Dodro;2462;1836;626;5;13;1818;1823;5;4;1;28;0;0;226;978;10;243;3;1;0;12;2;0;304;1;0;0;;
15;A Coruña                      ;34;Dumbría;2873;1634;1239;12;10;1612;1624;2;1;1;30;0;0;76;726;6;628;3;1;2;0;0;1;133;2;0;0;;
15;A Coruña                      ;35;Fene;11392;7001;4391;90;87;6824;6914;8;3;0;173;0;0;1104;2532;83;1235;12;12;29;8;3;2;1599;21;0;0;;
15;A Coruña                      ;36;Ferrol;57778;34544;23251;430;318;33796;34226;77;17;3;1269;14;11;2356;15146;404;6051;59;60;67;45;23;9;8117;68;0;0;;
15;A Coruña                      ;37;Fisterra;4055;2354;1701;15;19;2320;2335;0;1;1;40;0;0;365;1188;8;420;2;4;0;2;0;0;287;2;0;0;;
15;A Coruña                      ;38;Frades;2215;1521;694;21;23;1477;1498;0;0;1;31;1;1;197;867;7;219;1;1;1;2;0;0;145;3;0;0;;
15;A Coruña                      ;39;Irixoa;1258;841;417;6;9;826;832;0;1;1;14;2;0;64;529;5;110;5;0;0;2;0;2;91;0;0;0;;
15;A Coruña                      ;40;Laxe;2734;1853;881;9;9;1835;1844;3;0;1;35;1;0;121;995;10;450;4;0;0;1;0;1;212;1;0;0;;
15;A Coruña                      ;42;Lousame;3024;1912;1112;18;28;1866;1884;0;1;0;39;1;0;103;1109;16;328;1;2;2;4;2;1;256;1;0;0;;
15;A Coruña                      ;43;Malpica de Bergantiños;5099;3308;1791;17;48;3243;3260;1;4;2;86;2;2;325;1713;25;539;1;5;1;4;4;0;520;9;0;0;;
15;A Coruña                      ;44;Mañón;1274;858;416;6;5;847;853;1;1;1;9;0;0;35;543;7;148;1;0;0;1;0;1;98;1;0;0;;
15;A Coruña                      ;45;Mazaricos;3744;2051;1693;10;13;2028;2038;1;0;1;25;2;0;290;1318;5;239;2;2;1;19;0;2;118;3;0;0;;
15;A Coruña                      ;46;Melide;6328;4290;2038;25;70;4195;4220;6;5;6;95;3;2;376;2575;14;496;7;2;6;10;1;0;586;5;0;0;;
15;A Coruña                      ;47;Mesía;2421;1478;943;20;12;1446;1466;3;0;0;33;0;0;137;772;0;295;0;3;2;34;0;0;165;2;0;0;;
15;A Coruña                      ;48;Miño;4855;3125;1731;41;38;3046;3087;3;1;11;65;0;0;171;1614;20;604;3;5;1;3;1;0;541;3;0;0;;
15;A Coruña                      ;49;Moeche;1098;724;374;6;3;715;721;0;1;0;8;0;0;223;397;2;43;0;1;0;0;0;0;39;1;0;0;;
15;A Coruña                      ;50;Monfero;1817;991;826;20;15;956;976;3;1;1;17;0;0;119;464;4;250;0;1;1;2;0;0;89;4;0;0;;
15;A Coruña                      ;51;Mugardos;4639;2815;1824;34;22;2759;2793;5;0;1;61;0;0;305;1161;24;497;3;0;2;4;1;1;684;10;0;0;;
15;A Coruña                      ;53;Muros;7726;4729;2997;35;44;4650;4685;7;3;1;85;1;0;487;2257;38;804;9;9;4;156;2;2;779;6;0;0;;
15;A Coruña                      ;52;Muxía;4298;2796;1502;18;31;2747;2765;1;0;1;40;1;0;188;1526;18;706;3;2;3;3;0;0;254;1;0;0;;
15;A Coruña                      ;54;Narón;32106;17884;14223;254;195;17435;17689;26;11;4;691;8;7;1660;7604;276;2877;37;35;36;46;18;4;4052;43;0;0;;
15;A Coruña                      ;55;Neda;4546;2729;1817;38;34;2657;2695;7;2;0;62;0;0;273;1109;27;621;3;0;4;2;1;1;543;2;0;0;;
15;A Coruña                      ;56;Negreira;5702;3574;2130;27;41;3506;3533;2;2;2;126;1;0;252;1930;22;739;2;3;3;40;1;0;377;4;0;0;;
15;A Coruña                      ;57;Noia;12038;7952;4086;58;85;7809;7867;8;8;0;177;3;1;638;3911;89;1625;4;6;7;8;1;2;1313;8;0;0;;
15;A Coruña                      ;66;O Pino;3994;2698;1296;17;38;2643;2660;0;0;0;60;1;1;178;1716;12;385;3;4;2;8;1;1;265;6;0;0;;
15;A Coruña                      ;58;Oleiros;27793;17728;10071;256;120;17352;17608;21;20;2;873;6;1;1203;8110;231;2802;34;29;14;26;11;3;3946;20;0;0;;
15;A Coruña                      ;59;Ordes;10337;6967;3370;81;103;6783;6864;6;7;12;168;1;1;900;3817;31;963;11;15;16;36;4;1;781;13;0;0;;
15;A Coruña                      ;60;Oroso;5755;3774;1981;58;59;3657;3715;4;3;2;103;2;0;363;1780;39;735;9;5;0;12;1;1;593;5;0;0;;
15;A Coruña                      ;61;Ortigueira;5545;3405;2140;21;27;3357;3378;1;2;0;79;0;0;226;2029;32;632;1;2;4;0;0;0;348;1;0;0;;
15;A Coruña                      ;62;Outes;5867;3547;2320;16;35;3496;3512;4;1;1;88;0;1;249;2072;29;466;7;4;3;93;5;0;469;4;0;0;;
15;A Coruña                      ;902;Oza-Cesuras;4578;2894;1684;24;25;2845;2869;3;1;0;89;0;1;166;1776;18;413;3;3;1;68;2;2;296;3;0;0;;
15;A Coruña                      ;64;Paderne;2183;1481;702;20;30;1431;1451;1;0;0;30;1;1;100;755;16;338;1;2;1;5;0;0;179;1;0;0;;
15;A Coruña                      ;65;Padrón;7281;4847;2434;45;52;4750;4795;3;2;0;122;1;0;373;2510;50;743;10;4;3;28;1;0;891;9;0;0;;
15;A Coruña                      ;68;Ponteceso;5026;3013;2013;27;18;2968;2995;3;3;1;82;2;1;219;1674;22;496;2;3;2;4;2;3;443;6;0;0;;
15;A Coruña                      ;69;Pontedeume;6727;4445;2285;47;45;4353;4400;2;2;2;76;1;0;489;1790;45;930;8;3;12;4;7;0;974;8;0;0;;
15;A Coruña                      ;71;Porto do Son;7901;4926;2975;36;63;4827;4863;5;5;1;132;2;1;459;2416;45;870;10;4;5;12;2;0;853;5;0;0;;
15;A Coruña                      ;72;Rianxo;9558;6232;3331;36;74;6122;6158;12;4;2;121;3;6;1078;2492;57;1108;9;7;9;8;2;2;1188;14;0;0;;
15;A Coruña                      ;73;Ribeira;21818;12213;9621;120;161;11932;12052;17;15;1;478;9;6;1238;6239;119;1649;22;20;58;15;7;3;2022;14;0;0;;
15;A Coruña                      ;74;Rois;4025;2744;1281;17;35;2692;2709;5;1;0;74;2;0;219;1691;11;307;4;3;2;21;2;0;347;3;0;0;;
15;A Coruña                      ;75;Sada;12307;7887;4420;101;75;7711;7812;4;5;2;344;4;0;500;3748;111;1129;7;11;6;11;6;4;1810;9;0;0;;
15;A Coruña                      ;76;San Sadurniño;2591;1680;911;20;13;1647;1667;2;0;0;26;0;0;519;759;14;185;1;1;5;3;0;0;129;3;0;0;;
15;A Coruña                      ;77;Santa Comba;8247;5167;3080;36;67;5064;5100;5;2;4;118;1;1;279;3424;17;738;4;6;2;25;2;2;419;15;0;0;;
15;A Coruña                      ;78;Santiago de Compostela;78204;52676;25528;658;464;51554;52212;41;16;12;1674;18;6;5048;24107;545;8602;104;68;105;265;18;14;10845;66;0;0;;
15;A Coruña                      ;79;Santiso;1537;1048;489;7;17;1024;1031;0;1;0;15;0;0;93;623;2;178;1;8;0;1;1;0;101;0;0;0;;
15;A Coruña                      ;80;Sobrado;1738;1088;650;11;14;1063;1074;1;0;0;18;0;0;73;689;9;202;1;0;0;0;1;2;67;0;0;0;;
15;A Coruña                      ;82;Teo;15185;10147;5038;116;98;9933;10049;5;4;3;362;4;2;912;4734;128;1398;23;14;21;37;3;2;2268;13;0;0;;
15;A Coruña                      ;83;Toques;1074;780;294;7;13;760;767;0;0;0;9;0;0;108;510;4;82;0;0;0;0;0;1;46;0;0;0;;
15;A Coruña                      ;84;Tordoia;3235;2152;1083;17;20;2115;2132;1;1;0;46;0;1;138;1521;10;275;0;1;0;4;2;0;106;9;0;0;;
15;A Coruña                      ;85;Touro;3331;2199;1132;21;28;2150;2171;1;1;0;48;1;0;198;1329;17;287;3;4;2;11;2;0;244;2;0;0;;
15;A Coruña                      ;86;Trazo;2855;1860;995;18;17;1825;1843;2;1;0;37;2;1;129;1194;13;260;1;3;0;8;2;1;168;3;0;0;;
15;A Coruña                      ;88;Val do Dubra;3500;2103;1397;12;23;2068;2080;1;0;0;52;0;1;83;1296;11;295;1;2;0;5;1;0;319;1;0;0;;
15;A Coruña                      ;87;Valdoviño;5742;3367;2375;32;16;3319;3351;1;0;0;98;0;0;296;1740;30;631;2;4;7;4;1;1;493;11;0;0;;
15;A Coruña                      ;89;Vedra;4278;2872;1406;21;22;2829;2850;2;1;1;75;1;2;225;1639;14;418;2;3;1;10;1;2;429;3;0;0;;
15;A Coruña                      ;91;Vilarmaior;1127;790;338;2;10;778;780;1;0;1;8;0;0;43;497;4;106;2;0;1;2;0;1;111;1;0;0;;
15;A Coruña                      ;90;Vilasantar;1168;822;346;6;4;812;818;0;0;0;5;0;0;171;541;2;53;0;0;0;0;0;0;40;0;0;0;;
15;A Coruña                      ;92;Vimianzo;6406;3995;2411;27;46;3922;3949;2;2;2;68;0;2;179;2262;32;798;2;2;4;8;0;2;555;2;0;0;;
15;A Coruña                      ;93;Zas;4197;2565;1632;17;24;2524;2541;3;0;0;39;2;0;377;1620;9;254;2;4;0;2;0;0;210;2;0;0;;
15;A Coruña                      ;990;Residentes Ausentes A Coruña;154285;4035;150250;55;11;3969;4024;27;17;12;164;16;3;203;1888;116;674;20;31;7;19;2;2;722;46;0;0;;
27;Lugo;18;A Fonsagrada;3452;2117;1335;13;17;2087;2100;0;0;0;31;0;0;129;916;4;652;1;5;0;0;0;0;347;2;0;0;;
27;Lugo;44;A Pastoriza;2859;1766;1093;13;28;1725;1738;0;0;1;22;0;0;239;984;6;268;1;5;0;5;0;0;190;4;0;0;;
27;Lugo;47;A Pobra do Brollón;1611;1088;523;9;13;1066;1075;0;0;0;29;0;0;232;469;4;194;0;0;0;1;0;0;133;4;0;0;;
27;Lugo;48;A Pontenova;2115;1483;632;9;23;1451;1460;0;0;0;20;0;0;72;720;2;520;4;0;0;2;0;0;110;1;0;0;;
27;Lugo;1;Abadín;2351;1234;1117;11;12;1211;1222;0;0;0;21;0;0;58;882;7;115;1;7;0;1;0;0;117;2;0;0;;
27;Lugo;2;Alfoz;1631;1135;496;6;15;1114;1120;0;0;0;12;0;0;56;596;8;323;1;0;0;2;0;0;113;3;0;0;;
27;Lugo;3;Antas de Ulla;1861;1307;554;9;13;1285;1294;0;0;2;28;0;0;56;800;7;239;1;5;0;3;0;0;139;5;0;0;;
27;Lugo;37;As Nogais;1062;767;295;6;10;751;757;0;0;0;9;0;0;26;483;0;178;1;0;0;0;0;0;54;0;0;0;;
27;Lugo;4;Baleira;1214;765;449;6;4;755;761;0;0;1;16;0;0;39;488;3;150;0;0;0;0;0;0;58;0;0;0;;
27;Lugo;901;Baralla;2376;1557;819;21;10;1526;1547;0;0;0;31;0;0;52;970;5;199;1;6;0;3;0;0;259;0;0;0;;
27;Lugo;5;Barreiros;2595;1736;859;18;21;1697;1715;0;0;0;45;0;0;317;926;9;197;2;3;0;1;0;0;197;0;0;0;;
27;Lugo;6;Becerreá;2549;1576;973;12;16;1548;1560;0;0;0;27;0;0;65;900;13;301;1;6;0;1;0;0;233;1;0;0;;
27;Lugo;7;Begonte;2792;2075;717;24;36;2015;2039;0;0;0;58;0;0;54;1370;29;276;2;2;0;2;0;0;220;2;0;0;;
27;Lugo;8;Bóveda;1374;1004;370;9;14;981;990;0;0;1;9;0;0;62;602;5;180;3;1;0;0;0;0;117;1;0;0;;
27;Lugo;902;Burela;7208;4293;2915;39;61;4193;4232;0;0;1;107;0;0;383;2089;54;751;11;12;0;45;0;0;733;7;0;0;;
27;Lugo;9;Carballedo;2096;1619;477;11;20;1588;1599;0;0;1;27;0;0;74;1145;2;212;1;1;0;1;0;0;122;2;0;0;;
27;Lugo;10;Castro de Rei;4329;2789;1540;32;40;2717;2749;0;0;1;61;0;0;239;1601;19;416;6;7;0;2;0;0;361;4;0;0;;
27;Lugo;11;Castroverde;2444;1587;857;9;11;1567;1576;0;0;0;32;0;0;112;664;3;559;3;2;0;2;0;0;188;2;0;0;;
27;Lugo;12;Cervantes;1344;740;604;6;2;732;738;0;0;0;5;0;0;34;380;2;238;0;0;0;1;0;0;72;0;0;0;;
27;Lugo;13;Cervo;3765;2801;964;27;40;2734;2761;0;0;1;33;0;0;198;1273;27;558;2;6;0;10;0;0;624;2;0;0;;
27;Lugo;16;Chantada;7126;4631;2495;56;41;4534;4590;0;0;3;107;0;0;304;2438;39;837;8;6;0;6;0;0;779;7;0;0;;
27;Lugo;15;Cospeito;4244;2890;1354;18;54;2818;2836;0;0;1;71;0;0;174;1743;15;448;3;7;0;1;0;0;351;4;0;0;;
27;Lugo;17;Folgoso do Courel;992;689;303;4;4;681;685;0;0;0;7;0;0;21;388;5;182;0;0;0;0;0;0;77;1;0;0;;
27;Lugo;19;Foz;8117;5288;2829;64;54;5170;5234;0;0;2;157;0;0;501;2539;55;1002;6;3;0;19;0;0;877;9;0;0;;
27;Lugo;20;Friol;3507;2890;617;28;42;2820;2848;0;0;1;40;0;0;104;2000;8;450;3;5;0;1;0;0;203;5;0;0;;
27;Lugo;22;Guitiriz;4832;2953;1879;24;36;2893;2917;0;0;1;52;0;0;287;1520;14;605;1;3;0;8;0;0;398;4;0;0;;
27;Lugo;23;Guntín;2562;1850;712;15;19;1816;1831;0;0;0;43;0;0;71;1219;10;308;1;4;0;3;0;0;155;2;0;0;;
27;Lugo;26;Láncara;2399;1512;887;4;19;1489;1493;0;0;0;25;0;0;132;802;7;352;3;0;0;13;0;0;150;5;0;0;;
27;Lugo;27;Lourenzá;1918;1317;601;15;27;1275;1290;0;0;0;22;0;0;135;654;10;275;0;1;0;3;0;0;172;3;0;0;;
27;Lugo;28;Lugo;79101;49619;29482;568;519;48532;49100;0;0;26;2025;0;0;3159;22961;580;9072;146;226;0;84;0;0;10159;94;0;0;;
27;Lugo;29;Meira;1456;1030;426;5;26;999;1004;0;0;0;24;0;0;53;515;3;275;1;3;0;5;0;0;120;0;0;0;;
27;Lugo;30;Mondoñedo;3308;2183;1125;20;41;2122;2142;0;0;0;35;0;0;149;1237;18;358;3;4;0;9;0;0;306;3;0;0;;
27;Lugo;31;Monforte de Lemos;15530;9837;5693;99;118;9620;9719;0;0;4;301;0;0;658;4799;101;1948;30;9;0;21;0;0;1731;18;0;0;;
27;Lugo;32;Monterroso;3262;2002;1260;20;25;1957;1977;0;0;2;42;0;0;98;1148;15;345;1;16;0;5;0;0;285;0;0;0;;
27;Lugo;33;Muras;619;439;180;5;3;431;436;0;0;0;3;0;0;76;230;0;98;0;0;0;1;0;0;23;0;0;0;;
27;Lugo;34;Navia de Suarna;1104;687;417;3;4;680;683;0;0;0;7;0;0;27;356;1;189;0;9;0;0;0;0;91;0;0;0;;
27;Lugo;35;Negueira de Muñiz;187;111;76;1;0;110;111;0;0;0;2;0;0;5;36;0;45;0;0;0;0;0;0;22;0;0;0;;
27;Lugo;14;O Corgo;3243;2048;1195;14;12;2022;2036;0;0;1;53;0;0;310;1051;9;385;2;3;0;0;0;0;207;1;0;0;;
27;Lugo;24;O Incio;1576;1187;389;5;7;1175;1180;0;0;0;10;0;0;128;649;1;279;0;1;0;1;0;0;105;1;0;0;;
27;Lugo;43;O Páramo;1281;843;438;5;12;826;831;0;0;0;18;0;0;89;481;3;131;0;0;0;22;0;0;79;3;0;0;;
27;Lugo;58;O Saviñao;3476;2479;997;16;21;2442;2458;0;0;1;36;0;0;161;1508;12;535;1;4;0;2;0;0;182;0;0;0;;
27;Lugo;63;O Valadouro;1725;1223;502;8;22;1193;1201;0;0;0;26;0;0;70;595;4;332;3;0;0;5;0;0;158;0;0;0;;
27;Lugo;64;O Vicedo;1566;1054;512;12;10;1032;1044;0;0;0;32;0;0;62;689;9;137;0;3;0;1;0;0;99;0;0;0;;
27;Lugo;38;Ourol;928;638;290;7;2;629;636;0;0;0;10;0;0;17;314;5;213;0;1;0;2;0;0;65;2;0;0;;
27;Lugo;39;Outeiro de Rei;4357;3073;1284;35;41;2997;3032;0;0;0;98;0;0;361;1789;24;328;3;4;0;5;0;0;378;7;0;0;;
27;Lugo;40;Palas de Rei;3176;2220;956;19;27;2174;2193;0;0;0;32;0;0;106;1431;5;403;1;6;0;1;0;0;189;0;0;0;;
27;Lugo;41;Pantón;2329;1704;625;8;11;1685;1693;0;0;0;33;0;0;115;1095;12;262;2;0;0;2;0;0;163;1;0;0;;
27;Lugo;42;Paradela;1732;1324;408;5;14;1305;1310;0;0;0;25;0;0;59;853;0;285;0;1;0;0;0;0;77;5;0;0;;
