CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;PARTIDO COMUNISTA DOS POBOS DE ESPAÑA - COMUNISTAS DA GALIZA;A.I.D.G (ALTERNATIVA INDEPENDENTE DE GALICIA);C 21 (CONVERXENCIA 21);C's (CIUDADANOS - PARTIDO DE LA CIUDADANÍA);ADCG (ACCIÓN DEMOCRÁTICA CIUDADANOS DE GALICIA);VN (VÍA NOVA GALICIA);BNG-NÓS (BNG-NÓS CANDIDATURA GALEGA);PP (PARTIDO POPULAR);PACMA (PARTIDO ANIMALISTA CONTRA O MALTRATO ANIMAL);PSdeG - PSOE (PARTIDO DOS SOCIALISTAS DE GALICIA -PSOE);RECORTES CERO-GRUPO VERDE;PAYJ (PARTIDO ANTICORRUPCIÓN Y JUSTICIA);C-C (CIDADÁNS-CEMTRUM);CxG (COMPROMISO POR GALICIA);UNIDOS SI-DEF (UNIDOS POR EL FUTURO);P-LIB (PARTIDO LIBERTARIO);EN MAREA;GAÑEMOS;DO (DEMOCRACIA OURENSANA);EB (ESCANOS EN BRANCO);;
27;Lugo;57;Sarria;11174;7379;3795;62;110;7207;7269;0;0;4;158;0;0;1015;3831;37;1240;8;9;0;26;0;0;869;10;0;0;;
27;Lugo;59;Sober;2155;1613;542;9;18;1586;1595;0;0;0;30;0;0;41;1082;6;166;0;0;0;0;0;0;257;4;0;0;;
27;Lugo;60;Taboada;2593;1649;944;16;15;1618;1634;0;0;1;42;0;0;179;896;9;284;3;6;0;2;0;0;193;3;0;0;;
27;Lugo;61;Trabada;1021;730;291;4;9;717;721;0;0;0;12;0;0;26;387;4;218;0;1;0;1;0;0;68;0;0;0;;
27;Lugo;62;Triacastela;599;443;156;4;4;435;439;0;0;0;3;0;0;10;269;1;113;0;1;0;8;0;0;30;0;0;0;;
27;Lugo;65;Vilalba;12392;7901;4491;88;128;7685;7773;0;0;5;205;0;0;443;4595;49;1317;10;15;0;9;0;0;1025;12;0;0;;
27;Lugo;66;Viveiro;12657;7973;4684;82;112;7779;7861;0;0;4;221;0;0;563;3625;81;1694;22;16;0;20;0;0;1513;20;0;0;;
27;Lugo;21;Xermade;1743;1062;681;11;17;1034;1045;0;0;0;25;0;0;72;592;3;224;0;1;0;2;0;0;114;1;0;0;;
27;Lugo;25;Xove;2829;2004;825;12;34;1958;1970;0;0;1;57;0;0;207;1099;13;239;2;2;0;4;0;0;331;3;0;0;;
27;Lugo;990;Residentes Ausentes Lugo;64266;1270;62996;7;15;1248;1255;0;0;1;55;0;0;36;595;46;288;15;14;0;16;0;0;160;22;0;0;;
32;Lugo;3;A Arnoia;887;671;216;5;3;663;668;0;0;0;9;0;1;27;424;4;116;1;0;0;0;0;0;77;0;4;0;;
32;Lugo;14;A Bola;1143;839;304;3;6;830;833;0;0;0;26;0;0;86;554;2;76;0;2;0;0;0;0;68;0;16;0;;
32;Lugo;34;A Gudiña;1117;844;273;0;2;842;842;0;0;0;14;0;0;91;519;2;150;1;1;0;0;0;0;61;0;3;0;;
32;Lugo;47;A Merca;1769;1253;516;3;9;1241;1244;1;0;0;34;0;2;95;838;2;143;1;2;0;0;0;0;86;0;37;0;;
32;Lugo;48;A Mezquita;883;518;365;4;1;513;517;0;0;0;6;0;0;57;240;3;158;0;2;0;0;0;0;45;0;2;0;;
32;Lugo;59;A Peroxa;1785;1270;516;11;6;1253;1264;0;0;0;22;0;0;31;819;5;204;0;3;0;3;0;0;107;2;57;0;;
32;Lugo;63;A Pobra de Trives;1900;1261;639;11;12;1238;1249;1;0;0;26;0;0;31;616;6;201;0;1;0;1;0;0;338;2;15;0;;
32;Lugo;72;A Rúa;3824;2456;1369;8;15;2433;2441;4;0;0;56;0;3;169;1210;10;507;7;1;0;3;0;0;447;1;15;0;;
32;Lugo;80;A Teixeira;322;241;81;0;1;240;240;0;0;0;10;0;0;2;176;0;24;0;0;0;1;0;0;19;0;8;0;;
32;Lugo;83;A Veiga;827;559;268;3;1;555;558;0;0;0;10;0;0;20;375;2;99;0;0;0;0;0;0;38;2;9;0;;
32;Ourense;1;Allariz;4982;3361;1621;22;25;3314;3336;0;0;0;81;0;2;1159;1189;23;264;3;4;0;5;0;0;535;2;47;0;;
32;Ourense;2;Amoeiro;2003;1389;614;17;10;1362;1379;0;0;0;39;0;7;52;664;8;386;3;3;0;2;0;0;135;0;63;0;;
32;Ourense;4;Avión;1779;955;824;2;4;949;951;1;0;0;17;0;1;8;844;6;31;2;0;0;2;0;0;28;0;9;0;;
32;Ourense;5;Baltar;860;661;200;4;5;652;656;0;0;0;20;0;1;25;483;2;80;0;0;0;0;0;0;32;0;9;0;;
32;Ourense;6;Bande;1518;1057;461;7;13;1037;1044;0;0;0;17;0;0;38;745;1;138;0;0;0;1;0;0;83;0;14;0;;
32;Ourense;7;Baños de Molgas;1504;1014;490;5;9;1000;1005;1;0;0;24;0;0;255;522;2;113;0;1;0;2;0;0;68;0;12;0;;
32;Ourense;8;Barbadás;8298;5224;3074;38;50;5136;5174;4;0;0;201;0;24;388;2273;61;852;6;4;0;28;0;0;882;7;406;0;;
32;Ourense;10;Beade;387;285;102;1;2;282;283;0;0;0;2;0;0;10;179;1;51;0;1;0;0;0;0;36;0;2;0;;
32;Ourense;11;Beariz;931;570;361;3;1;566;569;1;0;0;2;0;0;10;498;2;23;0;0;0;1;0;0;26;0;3;0;;
32;Ourense;13;Boborás;2148;1335;813;8;7;1320;1328;0;0;0;32;0;0;56;972;5;145;0;3;0;2;0;0;91;2;12;0;;
32;Ourense;16;Calvos de Randín;779;559;220;5;4;550;555;1;0;0;5;0;0;5;220;3;291;0;0;0;0;0;0;21;0;4;0;;
32;Ourense;18;Carballeda de Avia;1239;961;278;4;11;946;950;2;0;0;25;0;0;29;399;2;383;2;1;0;3;0;0;93;2;5;0;;
32;Ourense;17;Carballeda de Valdeorras;1242;754;488;2;4;748;750;0;0;0;20;0;0;12;551;1;111;0;0;0;1;0;0;45;2;5;0;;
32;Ourense;20;Cartelle;2553;1901;652;4;15;1882;1886;0;0;0;21;0;1;191;1203;5;277;1;1;0;2;0;0;150;0;30;0;;
32;Ourense;22;Castrelo de Miño;1333;857;476;4;4;849;853;0;0;0;13;0;0;122;444;8;174;0;1;0;0;0;0;76;1;10;0;;
32;Ourense;21;Castrelo do Val;935;644;291;2;3;639;641;1;0;0;9;0;0;59;277;2;217;3;0;0;1;0;0;68;0;2;0;;
32;Ourense;23;Castro Caldelas;1198;848;350;6;6;836;842;0;0;0;17;0;0;16;431;2;240;0;1;0;0;0;0;123;0;6;0;;
32;Ourense;24;Celanova;4805;3142;1663;24;27;3091;3115;2;0;0;127;0;0;232;1787;23;486;4;4;0;11;0;0;350;5;60;0;;
32;Ourense;25;Cenlle;1075;784;291;4;10;770;774;1;0;0;19;0;0;39;500;3;115;1;2;0;0;0;0;82;1;7;0;;
32;Ourense;29;Chandrexa de Queixa;468;348;120;1;1;346;347;0;0;0;4;0;0;6;259;0;33;0;0;0;0;0;0;40;0;4;0;;
32;Ourense;26;Coles;2693;1793;900;13;19;1761;1774;1;0;0;62;0;1;71;805;13;418;0;2;0;3;0;0;258;1;126;0;;
32;Ourense;27;Cortegada;1045;730;315;4;6;720;724;0;0;0;14;0;0;17;473;4;140;0;0;0;0;0;0;58;0;14;0;;
32;Ourense;28;Cualedro;1596;1153;443;6;4;1143;1149;1;0;0;28;0;0;43;866;0;118;0;2;0;4;0;0;66;1;14;0;;
32;Ourense;30;Entrimo;993;718;275;5;5;708;713;1;0;0;7;0;0;25;246;3;363;0;1;0;0;0;0;56;0;6;0;;
32;Ourense;31;Esgos;1055;770;285;5;7;758;763;0;0;0;28;0;1;17;522;7;83;1;2;0;0;0;0;74;1;22;0;;
32;Ourense;33;Gomesende;734;467;267;3;3;461;464;0;0;0;18;0;0;13;312;0;66;0;0;0;1;0;0;43;1;7;0;;
32;Ourense;38;Larouco;427;260;167;4;3;253;257;0;0;0;7;0;1;7;140;1;60;0;0;0;0;0;0;35;0;2;0;;
32;Ourense;39;Laza;1266;987;279;5;10;972;977;1;0;0;21;0;1;67;604;6;113;0;0;0;0;0;0;147;1;11;0;;
32;Ourense;40;Leiro;1477;1056;421;8;7;1041;1049;1;0;0;15;0;0;88;683;2;160;3;2;0;0;0;0;77;0;10;0;;
32;Ourense;41;Lobeira;772;504;268;1;6;497;498;0;0;0;2;0;2;20;346;1;79;1;0;0;0;0;0;43;0;3;0;;
32;Ourense;42;Lobios;1564;1046;518;12;11;1023;1035;0;0;0;23;0;1;33;674;6;169;1;1;0;1;0;0;101;2;11;0;;
32;Ourense;43;Maceda;2562;1728;834;4;18;1706;1710;0;0;0;42;0;0;82;1008;5;243;1;2;0;47;0;0;252;1;23;0;;
32;Ourense;44;Manzaneda;862;660;202;1;6;653;654;0;0;0;5;0;1;12;316;0;61;0;1;0;1;0;0;250;0;6;0;;
32;Ourense;45;Maside;2441;1652;789;22;20;1610;1632;0;0;0;33;0;2;35;975;9;347;1;0;0;13;0;0;172;2;21;0;;
32;Ourense;46;Melón;1156;770;386;3;11;756;759;0;0;0;14;0;0;38;469;5;141;1;1;0;1;0;0;76;0;10;0;;
32;Ourense;49;Montederramo;756;497;259;4;2;491;495;2;0;0;10;0;0;28;281;2;92;0;0;0;0;0;0;66;3;7;0;;
32;Ourense;50;Monterrei;2408;1796;612;11;9;1776;1787;0;0;0;27;0;2;138;1173;4;259;0;0;0;1;0;0;162;1;9;0;;
32;Ourense;51;Muíños;1419;1154;265;4;3;1147;1151;0;0;0;11;0;0;27;845;4;190;0;0;0;3;0;0;56;0;11;0;;
32;Ourense;52;Nogueira de Ramuín;1871;1348;523;5;14;1329;1334;0;0;0;29;0;1;32;916;6;161;0;2;0;1;0;0;121;6;54;0;;
32;Ourense;9;O Barco de Valdeorras;10800;6399;4401;54;37;6308;6362;6;0;0;189;0;3;241;3367;47;1535;9;8;0;6;0;0;835;3;59;0;;
32;Ourense;15;O Bolo;865;570;295;7;3;560;567;0;0;0;9;0;0;14;408;2;84;0;0;0;0;0;0;40;2;1;0;;
32;Ourense;19;O Carballiño;11532;7282;4252;83;76;7123;7206;6;0;0;175;0;2;378;4223;82;1253;6;12;0;23;0;0;884;8;71;0;;
32;Ourense;35;O Irixo;1446;903;545;5;2;896;901;0;0;0;17;0;0;39;649;3;106;0;1;0;1;0;0;70;2;8;0;;
32;Ourense;58;O Pereiro de Aguiar;5183;3520;1663;25;45;3450;3475;2;0;0;141;0;1;125;1911;35;496;4;6;0;13;0;0;488;3;225;0;;
32;Ourense;53;Oímbra;1444;1123;321;11;10;1102;1113;0;0;0;20;0;0;100;756;5;114;1;0;0;3;0;0;96;0;7;0;;
32;Ourense;12;Os Blancos;777;480;297;2;4;474;476;0;0;0;12;0;1;15;302;1;75;0;0;0;2;0;0;61;0;5;0;;
32;Ourense;54;Ourense;87112;55808;31313;499;481;54828;55327;38;0;0;1949;0;61;2697;23783;649;9812;61;54;0;214;0;0;10075;53;5382;0;;
32;Ourense;55;Paderne de Allariz;1271;861;410;3;5;853;856;0;0;0;19;0;2;33;535;3;134;0;2;0;1;0;0;83;2;39;0;;
32;Ourense;56;Padrenda;1584;1044;540;2;2;1040;1042;0;0;0;31;0;0;14;747;1;196;1;0;0;0;0;0;41;1;8;0;;
32;Ourense;57;Parada de Sil;568;406;162;5;1;400;405;0;0;0;10;0;0;8;159;0;164;0;1;0;1;0;0;48;0;9;0;;
32;Ourense;60;Petín;830;519;311;3;4;512;515;1;0;0;6;0;0;18;205;1;172;1;0;0;0;0;0;104;0;4;0;;
32;Ourense;61;Piñor;1072;824;248;2;3;819;821;0;0;0;14;0;0;25;498;4;180;0;3;0;0;0;0;73;1;21;0;;
32;Ourense;64;Pontedeva;529;375;154;6;4;365;371;0;0;0;11;0;0;7;289;1;34;0;0;0;0;0;0;20;0;3;0;;
32;Ourense;62;Porqueira;812;624;188;3;2;619;622;0;0;0;3;0;2;25;453;1;83;0;0;0;0;0;0;49;1;2;0;;
32;Ourense;65;Punxín;656;455;201;3;5;447;450;2;0;0;9;0;1;10;248;5;115;1;0;0;1;0;0;43;2;10;0;;
32;Ourense;66;Quintela de Leirado;563;433;130;0;1;432;432;0;0;0;2;0;0;6;360;1;43;1;0;0;0;0;0;17;0;2;0;;
32;Ourense;67;Rairiz de Veiga;1272;746;526;7;5;734;741;0;0;0;13;0;0;34;449;5;98;0;0;0;1;0;0;127;0;7;0;;
32;Ourense;68;Ramirás;1419;962;457;3;7;952;955;1;0;0;23;0;0;75;552;5;210;0;1;0;0;0;0;77;1;7;0;;
32;Ourense;69;Ribadavia;4292;3057;1235;27;51;2979;3006;2;0;0;76;0;1;175;1275;27;806;5;3;0;41;0;0;542;5;21;0;;
32;Ourense;71;Riós;1465;1003;462;3;3;997;1000;1;0;0;23;0;0;58;601;5;196;2;0;0;1;0;0;99;1;10;0;;
32;Ourense;73;Rubiá;1313;885;428;3;7;875;878;2;0;0;12;0;0;33;495;4;212;4;0;0;1;0;0;105;2;5;0;;
32;Ourense;74;San Amaro;1033;682;351;3;7;672;675;0;0;0;15;0;0;21;420;10;122;1;0;0;3;0;0;61;0;19;0;;
32;Ourense;75;San Cibrao das Viñas;4226;3097;1129;25;29;3043;3068;1;0;0;94;0;2;83;1885;26;421;4;6;0;4;0;0;334;3;180;0;;
32;Ourense;76;San Cristovo de Cea;2082;1461;621;16;6;1439;1455;0;0;0;23;0;0;140;954;5;183;3;3;0;16;0;0;85;2;25;0;;
32;Ourense;70;San Xoán de Río;542;336;206;3;2;331;334;0;0;0;6;0;0;5;186;0;62;2;1;0;0;0;0;65;1;3;0;;
32;Ourense;77;Sandiás;1162;742;420;11;4;727;738;2;0;0;23;0;0;28;400;4;167;0;1;0;3;0;0;87;1;11;0;;
32;Ourense;78;Sarreaus;1176;833;343;4;5;824;828;0;0;0;24;0;1;34;579;2;114;2;1;0;3;0;0;59;1;4;0;;
32;Ourense;79;Taboadela;1328;918;410;9;11;898;907;0;0;0;19;0;2;23;508;4;181;4;0;0;2;0;0;111;0;44;0;;
32;Ourense;81;Toén;2068;1424;644;11;13;1400;1411;1;0;0;38;0;1;39;811;11;287;3;2;0;2;0;0;172;2;31;0;;
32;Ourense;82;Trasmiras;1227;834;393;3;10;821;824;0;0;0;23;0;0;30;528;4;156;0;1;0;1;0;0;71;0;7;0;;
32;Ourense;84;Verea;917;615;302;3;2;610;613;0;0;0;19;0;0;55;382;0;89;0;0;0;0;0;0;54;1;10;0;;
32;Ourense;85;Verín;10728;6853;3876;53;65;6735;6788;3;0;0;137;0;3;828;3576;27;1329;8;1;0;4;0;0;777;8;34;0;;
32;Ourense;86;Viana do Bolo;2641;1623;1018;5;11;1607;1612;1;0;0;13;0;1;303;901;6;232;2;1;0;0;0;0;136;2;9;0;;
32;Ourense;87;Vilamarín;1755;1316;439;17;11;1288;1305;0;0;0;30;0;2;49;855;8;134;2;4;0;2;0;0;131;1;70;0;;
32;Ourense;88;Vilamartín de Valdeorras;1624;950;674;7;4;939;946;3;0;0;21;0;2;34;493;6;259;0;1;0;0;0;0;111;3;6;0;;
32;Ourense;89;Vilar de Barrio;1287;841;446;15;7;819;834;1;0;0;22;0;0;55;532;2;138;1;0;0;2;0;0;60;0;6;0;;
32;Ourense;90;Vilar de Santos;772;527;245;3;2;522;525;2;0;0;7;0;0;35;187;1;27;1;0;0;4;0;0;257;0;1;0;;
32;Ourense;91;Vilardevós;1833;1347;486;4;12;1331;1335;2;0;0;12;0;0;57;788;4;396;0;0;0;0;0;0;69;0;3;0;;
32;Ourense;92;Vilariño de Conso;520;331;189;2;2;327;329;0;0;0;8;0;0;14;190;2;39;0;2;0;0;0;0;69;1;2;0;;
32;Ourense;32;Xinzo de Limia;8067;5391;2676;42;87;5262;5304;3;0;0;141;0;5;351;3139;23;709;4;11;0;18;0;0;813;5;40;0;;
32;Ourense;36;Xunqueira de Ambía;1337;971;366;1;10;960;961;0;0;0;29;0;0;62;650;4;89;2;3;0;0;0;0;100;0;21;0;;
32;Ourense;37;Xunqueira de Espadanedo;718;499;219;5;12;482;487;0;0;0;22;0;0;10;334;2;59;2;0;0;0;0;0;46;0;7;0;;
32;Ourense;990;Residentes Ausentes Ourense;98942;1948;96994;6;23;1919;1925;7;0;0;70;0;4;58;1059;63;344;9;19;0;11;0;0;214;20;41;0;;
36;Pontevedra;9;A Cañiza;4520;2822;1698;10;45;2767;2777;1;0;1;92;1;0;123;1670;13;471;4;1;2;3;0;0;372;10;0;3;;
36;Pontevedra;17;A Estrada;17751;11888;5863;118;140;11630;11748;11;0;7;303;7;0;951;6373;55;1984;18;18;11;38;0;0;1831;9;0;14;;
36;Pontevedra;23;A Guarda;8372;5446;2926;33;65;5348;5381;8;0;2;186;3;0;724;2527;52;756;2;4;6;5;0;0;1059;6;0;8;;
36;Pontevedra;901;A Illa de Arousa;4125;3076;1049;27;37;3012;3039;4;0;0;119;1;0;232;813;21;1098;6;4;4;2;0;0;691;5;0;12;;
36;Pontevedra;25;A Lama;2231;1276;955;11;5;1260;1271;3;0;1;87;1;0;60;828;22;137;1;1;0;2;0;0;115;0;0;2;;
36;Pontevedra;20;Agolada;2308;1645;663;13;11;1621;1634;1;0;0;34;0;0;78;1067;4;187;3;131;3;3;0;0;107;2;0;1;;
36;Pontevedra;1;Arbo;2549;1734;815;4;12;1718;1722;1;0;0;61;1;0;91;985;12;242;1;4;1;3;0;0;311;4;0;1;;
36;Pontevedra;34;As Neves;3461;2256;1205;14;27;2215;2229;4;0;1;67;0;0;306;1085;20;373;4;12;2;4;0;0;328;2;0;7;;
36;Pontevedra;3;Baiona;10006;6424;3582;55;48;6321;6376;4;0;2;278;5;0;382;3299;46;936;12;7;4;2;0;0;1320;9;0;15;;
36;Pontevedra;2;Barro;3131;2000;1131;17;16;1967;1984;3;0;0;47;0;0;384;1101;9;249;3;2;1;1;0;0;164;0;0;3;;
36;Pontevedra;4;Bueu;10163;6217;3946;41;57;6119;6160;3;0;0;215;4;0;991;2769;99;678;16;7;4;10;0;0;1300;5;0;18;;
36;Pontevedra;5;Caldas de Reis;8120;5115;3005;32;67;5016;5048;2;0;1;127;3;0;515;2508;42;1022;4;8;3;9;0;0;760;3;0;9;;
36;Pontevedra;6;Cambados;11506;7798;3708;48;122;7628;7676;8;0;1;227;1;0;862;3966;81;1052;6;4;6;16;0;0;1370;7;0;21;;
36;Pontevedra;7;Campo Lameiro;1668;1103;565;7;15;1081;1088;1;0;0;17;0;0;70;666;7;213;1;0;1;1;0;0;101;1;0;2;;
36;Pontevedra;8;Cangas;21765;14069;7696;106;151;13812;13918;17;0;4;496;7;0;1510;4955;134;1552;35;30;13;16;0;0;4976;23;0;44;;
36;Pontevedra;10;Catoira;2844;1965;879;13;24;1928;1941;1;0;2;26;0;0;230;815;12;424;3;6;1;15;0;0;389;2;0;2;;
36;Pontevedra;11;Cerdedo;1789;1116;673;4;20;1092;1096;0;0;0;17;1;0;55;707;2;202;1;2;0;2;0;0;101;2;0;0;;
36;Pontevedra;12;Cotobade;3719;2577;1142;13;36;2528;2541;3;0;1;73;2;0;182;1223;27;627;4;2;0;4;0;0;362;16;0;2;;
36;Pontevedra;13;Covelo;2335;1405;930;9;12;1384;1393;0;0;0;29;0;0;98;878;15;172;1;0;4;7;0;0;177;2;0;1;;
36;Pontevedra;14;Crecente;1925;1413;512;12;14;1387;1399;3;0;2;32;2;0;52;927;12;189;1;1;1;3;0;0;154;3;0;5;;
36;Pontevedra;15;Cuntis;4145;2648;1497;21;37;2590;2611;0;0;0;73;1;0;207;1319;13;567;1;6;6;7;0;0;383;0;0;7;;
36;Pontevedra;16;Dozón;1138;687;451;2;6;679;681;0;0;0;12;0;0;46;531;2;44;0;8;0;2;0;0;32;1;0;1;;
36;Pontevedra;18;Forcarei;3227;2086;1141;16;22;2048;2064;1;0;0;48;1;0;146;1318;9;315;1;3;1;6;0;0;195;0;0;4;;
36;Pontevedra;19;Fornelos de Montes;1595;978;617;5;11;962;967;1;0;0;20;0;0;72;379;4;384;1;2;9;2;0;0;83;2;0;3;;
36;Pontevedra;21;Gondomar;12062;7536;4526;66;69;7401;7467;5;0;1;290;3;0;450;3390;86;1365;10;6;8;14;0;0;1746;13;0;14;;
36;Pontevedra;24;Lalín;16433;11004;5429;75;143;10786;10861;11;0;2;313;6;0;740;6961;80;1148;5;134;19;204;0;0;1144;3;0;16;;
36;Pontevedra;26;Marín;20098;12009;8089;106;122;11781;11887;6;0;4;473;5;0;984;5965;166;1741;19;16;10;19;0;0;2334;22;0;17;;
36;Pontevedra;27;Meaño;4448;2816;1632;19;25;2772;2791;1;0;0;88;1;0;167;1721;22;390;2;5;8;12;0;0;347;7;0;1;;
36;Pontevedra;28;Meis;4094;2665;1429;11;27;2627;2638;2;0;2;74;2;0;231;1470;19;439;4;4;1;6;0;0;362;3;0;8;;
36;Pontevedra;29;Moaña;16073;10409;5664;90;125;10194;10284;6;0;6;368;8;0;1563;3868;104;1345;15;19;6;21;0;0;2826;22;0;17;;
36;Pontevedra;30;Mondariz;4151;2692;1459;18;25;2649;2667;1;0;2;85;0;0;351;1250;35;441;3;2;4;11;0;0;450;8;0;6;;
36;Pontevedra;31;Mondariz-Balneario;560;430;130;4;3;423;427;0;0;0;17;0;0;51;225;6;53;1;0;0;2;0;0;64;3;0;1;;
36;Pontevedra;32;Moraña;3617;2492;1125;12;38;2442;2454;2;0;2;50;0;0;302;1355;19;455;3;3;2;12;0;0;232;3;0;2;;
36;Pontevedra;33;Mos;12289;8344;3945;66;119;8159;8225;7;0;5;341;5;0;605;3344;120;1661;22;18;6;12;0;0;1969;25;0;19;;
36;Pontevedra;35;Nigrán;14479;9141;5338;73;125;8943;9016;11;0;1;424;6;0;417;4320;104;1638;14;9;35;23;0;0;1901;18;0;22;;
36;Pontevedra;22;O Grove;8987;5497;3490;47;76;5374;5421;4;0;2;188;3;0;529;1918;56;962;9;3;4;5;0;0;1670;9;0;12;;
36;Pontevedra;39;O Porriño;15379;9591;5788;69;161;9361;9430;8;0;3;393;3;0;853;4015;138;1485;25;10;7;21;0;0;2351;22;0;27;;
36;Pontevedra;48;O Rosal;5330;3468;1862;19;49;3400;3419;3;0;0;92;2;0;477;1570;27;527;4;0;5;9;0;0;675;4;0;5;;
36;Pontevedra;36;Oia;2519;1744;775;13;23;1708;1721;0;0;2;34;0;0;132;924;18;297;1;4;2;1;0;0;289;2;0;2;;
36;Pontevedra;37;Pazos de Borbén;2555;1594;961;9;19;1566;1575;1;0;0;51;2;0;102;838;20;219;1;5;0;4;0;0;310;9;0;4;;
36;Pontevedra;41;Poio;13420;8269;5151;61;78;8130;8191;7;0;1;342;8;0;903;4126;85;1222;7;9;15;21;0;0;1346;21;0;17;;
36;Pontevedra;43;Ponte Caldelas;4738;2876;1862;22;28;2826;2848;3;0;1;79;1;0;283;1468;27;558;5;5;5;3;0;0;376;4;0;8;;
36;Pontevedra;42;Ponteareas;17879;11283;6596;102;165;11016;11118;12;0;11;446;10;0;1109;4562;133;1949;20;21;20;51;0;0;2602;28;0;42;;
36;Pontevedra;44;Pontecesures;2548;1544;1004;9;37;1498;1507;0;0;0;43;0;0;124;825;12;200;0;2;0;4;0;0;285;0;0;3;;
36;Pontevedra;38;Pontevedra;66516;42781;23735;410;358;42013;42423;36;0;10;1774;22;0;6332;17839;523;7160;62;67;50;99;0;0;7858;88;0;93;;
36;Pontevedra;40;Portas;2569;1658;911;9;18;1631;1640;2;0;0;33;1;0;175;906;11;261;2;3;1;6;0;0;226;0;0;4;;
36;Pontevedra;45;Redondela;24568;16109;8459;141;195;15773;15914;19;0;3;509;14;0;1273;5587;237;3610;36;21;22;21;0;0;4344;43;0;34;;
36;Pontevedra;46;Ribadumia;4029;2632;1397;13;40;2579;2592;2;0;0;110;5;0;206;1328;22;457;8;4;3;11;0;0;416;5;0;2;;
36;Pontevedra;47;Rodeiro;2427;1572;855;8;9;1555;1563;0;0;0;30;1;0;111;989;1;296;0;7;0;6;0;0;113;0;0;1;;
36;Pontevedra;49;Salceda de Caselas;6843;4595;2248;34;83;4478;4512;0;0;5;187;5;0;336;2048;56;576;19;14;6;8;0;0;1186;16;0;16;;
36;Pontevedra;50;Salvaterra de Miño;7571;4824;2747;30;65;4729;4759;4;0;5;160;6;0;465;1911;58;1092;7;5;6;15;0;0;974;12;0;9;;
36;Pontevedra;51;Sanxenxo;14260;8574;5686;71;91;8412;8483;6;0;1;298;9;0;766;4571;81;1193;7;8;9;13;0;0;1430;9;0;11;;
36;Pontevedra;52;Silleda;7259;4697;2562;38;80;4579;4617;7;0;2;125;3;0;390;2611;33;816;9;9;12;21;0;0;525;9;0;7;;
36;Pontevedra;53;Soutomaior;5699;3764;1935;31;40;3693;3724;3;0;1;123;3;0;876;1605;37;419;2;3;4;2;0;0;602;5;0;8;;
36;Pontevedra;54;Tomiño;11009;6912;4097;58;87;6767;6825;9;0;1;211;11;0;1229;3059;57;999;12;6;8;7;0;0;1134;11;0;13;;
36;Pontevedra;55;Tui;13605;8815;4790;92;146;8577;8669;6;0;49;356;7;0;770;4302;82;1411;17;6;14;5;0;0;1519;15;0;18;;
36;Pontevedra;56;Valga;5074;3367;1707;15;39;3313;3328;6;0;0;70;1;0;201;2067;34;424;4;3;3;5;0;0;480;4;0;11;;
36;Pontevedra;57;Vigo;236931;149556;87375;1525;1240;146791;148316;185;0;70;7113;131;0;9503;51065;2365;33492;303;233;276;288;0;0;41062;320;0;385;;
36;Pontevedra;59;Vila de Cruces;4852;2956;1896;24;35;2897;2921;6;0;0;83;4;0;272;1890;23;308;3;15;2;4;0;0;280;2;0;5;;
36;Pontevedra;58;Vilaboa;4984;3032;1952;26;40;2966;2992;4;0;1;93;1;0;489;1220;29;562;6;5;3;5;0;0;528;8;0;12;;
36;Pontevedra;60;Vilagarcía de Arousa;30369;19094;11275;164;178;18752;18916;21;0;2;664;14;0;1427;8087;256;3926;43;28;21;73;0;0;4113;34;0;43;;
36;Pontevedra;61;Vilanova de Arousa;8603;5763;2840;56;66;5641;5697;7;0;3;203;4;0;331;3411;58;841;8;8;6;8;0;0;735;14;0;4;;
36;Pontevedra;990;Residentes Ausentes Pontevedra;128777;3524;125253;9;20;3495;3504;27;0;5;134;14;0;171;1725;118;530;18;36;8;28;0;0;638;36;0;7;;
TOTAL;;;;2701848;1448962;1252970;14037;14544;1420381;1434418;1263;367;493;48553;651;281;119446;682150;15135;256381;2276;2535;1534;4109;296;210;273523;2344;7723;1111;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
